,CBCD,dual_elig,white,male,agecat,grand_total,count_over_CB_total,CB_total_over_grand_total,year
1,101,0,1,0,1,264369,0.214930765,0.006282885,2009
2,101,1,0,0,1,264369,0.206502107,0.006282885,2009
3,101,0,1,1,1,264369,0.108368453,0.006282885,2009
4,101,1,0,1,1,264369,0.088500903,0.006282885,2009
5,101,0,0,0,1,264369,0.071643588,0.006282885,2009
6,101,0,1,0,0,264369,0.045755569,0.006282885,2009
7,101,0,1,1,0,264369,0.045755569,0.006282885,2009
8,101,1,0,0,0,264369,0.039735099,0.006282885,2009
9,101,1,1,0,1,264369,0.036122818,0.006282885,2009
10,101,0,0,1,1,264369,0.034918724,0.006282885,2009
11,101,0,0,0,0,264369,0.024683925,0.006282885,2009
12,101,1,1,1,1,264369,0.022275738,0.006282885,2009
13,101,1,0,1,0,264369,0.021071644,0.006282885,2009
14,101,0,0,1,0,264369,0.019265503,0.006282885,2009
15,101,1,1,0,0,264369,0.010234798,0.006282885,2009
16,101,1,1,1,0,264369,0.010234798,0.006282885,2009
17,102,0,1,0,1,264369,0.283196979,0.012021077,2009
18,102,0,1,1,1,264369,0.225928257,0.012021077,2009
19,102,0,1,0,0,264369,0.104468219,0.012021077,2009
20,102,0,1,1,0,264369,0.102265576,0.012021077,2009
21,102,1,0,0,1,264369,0.082756451,0.012021077,2009
22,102,1,0,1,1,264369,0.035556954,0.012021077,2009
23,102,1,1,0,1,264369,0.034298301,0.012021077,2009
24,102,0,0,0,1,264369,0.020767778,0.012021077,2009
25,102,1,0,0,0,264369,0.019194462,0.012021077,2009
26,102,0,0,1,1,264369,0.016362492,0.012021077,2009
27,102,0,0,1,0,264369,0.016047829,0.012021077,2009
28,102,1,1,1,1,264369,0.014159849,0.012021077,2009
29,102,1,0,1,0,264369,0.013215859,0.012021077,2009
30,102,1,1,1,0,264369,0.012586532,0.012021077,2009
31,102,0,0,0,0,264369,0.011957206,0.012021077,2009
32,102,1,1,0,0,264369,0.007237256,0.012021077,2009
33,103,1,0,0,1,264369,0.299464422,0.024719237,2009
34,103,1,0,1,1,264369,0.126090283,0.024719237,2009
35,103,1,0,0,0,264369,0.110635042,0.024719237,2009
36,103,0,1,0,1,264369,0.097781178,0.024719237,2009
37,103,1,0,1,0,264369,0.060596787,0.024719237,2009
38,103,0,1,1,1,264369,0.050650344,0.024719237,2009
39,103,0,0,0,1,264369,0.047130834,0.024719237,2009
40,103,1,1,0,1,264369,0.043764346,0.024719237,2009
41,103,0,0,1,1,264369,0.028309105,0.024719237,2009
42,103,0,1,0,0,264369,0.026472839,0.024719237,2009
43,103,0,0,0,0,264369,0.026319816,0.024719237,2009
44,103,0,1,1,0,264369,0.022953328,0.024719237,2009
45,103,0,0,1,0,264369,0.018056618,0.024719237,2009
46,103,1,1,1,1,264369,0.016985463,0.024719237,2009
47,103,1,1,0,0,264369,0.014996174,0.024719237,2009
48,103,1,1,1,0,264369,0.00979342,0.024719237,2009
49,104,0,1,0,1,264369,0.253507341,0.011593644,2009
50,104,0,1,1,1,264369,0.137030995,0.011593644,2009
51,104,1,0,0,1,264369,0.096574225,0.011593644,2009
52,104,0,1,0,0,264369,0.079934747,0.011593644,2009
53,104,0,1,1,0,264369,0.07862969,0.011593644,2009
54,104,1,0,0,0,264369,0.050570962,0.011593644,2009
55,104,1,1,0,1,264369,0.046003263,0.011593644,2009
56,104,0,0,0,1,264369,0.040130506,0.011593644,2009
57,104,1,0,1,1,264369,0.034584013,0.011593644,2009
58,104,1,1,0,0,264369,0.029690049,0.011593644,2009
59,104,0,0,0,0,264369,0.029363785,0.011593644,2009
60,104,1,0,1,0,264369,0.027732463,0.011593644,2009
61,104,1,1,1,0,264369,0.025774878,0.011593644,2009
62,104,0,0,1,0,264369,0.025122349,0.011593644,2009
63,104,1,1,1,1,264369,0.024143556,0.011593644,2009
64,104,0,0,1,1,264369,0.021207178,0.011593644,2009
65,105,0,1,0,1,264369,0.279735683,0.006869187,2009
66,105,0,1,1,1,264369,0.2219163,0.006869187,2009
67,105,0,1,1,0,264369,0.102422907,0.006869187,2009
68,105,0,1,0,0,264369,0.099669604,0.006869187,2009
69,105,1,1,0,1,264369,0.050660793,0.006869187,2009
70,105,1,0,0,1,264369,0.044052863,0.006869187,2009
71,105,1,1,1,1,264369,0.031387665,0.006869187,2009
72,105,1,0,1,1,264369,0.026431718,0.006869187,2009
73,105,1,0,0,0,264369,0.024229075,0.006869187,2009
74,105,0,0,0,0,264369,0.019823789,0.006869187,2009
75,105,0,0,0,1,264369,0.019823789,0.006869187,2009
76,105,0,0,1,1,264369,0.018171806,0.006869187,2009
77,105,1,1,0,0,264369,0.017070485,0.006869187,2009
78,105,1,1,1,0,264369,0.017070485,0.006869187,2009
79,105,1,0,1,0,264369,0.014867841,0.006869187,2009
80,105,0,0,1,0,264369,0.012665198,0.006869187,2009
81,106,0,1,0,1,264369,0.354544093,0.02526393,2009
82,106,0,1,1,1,264369,0.22862704,0.02526393,2009
83,106,0,1,0,0,264369,0.134002096,0.02526393,2009
84,106,0,1,1,0,264369,0.099266357,0.02526393,2009
85,106,1,1,0,1,264369,0.029195987,0.02526393,2009
86,106,0,0,0,1,264369,0.025003743,0.02526393,2009
87,106,0,0,0,0,264369,0.024704297,0.02526393,2009
88,106,1,0,0,1,264369,0.022608175,0.02526393,2009
89,106,0,0,1,1,264369,0.017667315,0.02526393,2009
90,106,0,0,1,0,264369,0.013025902,0.02526393,2009
91,106,1,0,0,0,264369,0.012127564,0.02526393,2009
92,106,1,1,1,1,264369,0.01092978,0.02526393,2009
93,106,1,0,1,1,264369,0.010480611,0.02526393,2009
94,106,1,1,0,0,264369,0.00643809,0.02526393,2009
95,106,1,0,1,0,264369,0.005839197,0.02526393,2009
96,106,1,1,1,0,264369,0.005539751,0.02526393,2009
97,107,0,1,0,1,264369,0.268734676,0.035484493,2009
98,107,0,1,1,1,264369,0.183882315,0.035484493,2009
99,107,0,1,0,0,264369,0.09998934,0.035484493,2009
100,107,1,0,0,1,264369,0.091674662,0.035484493,2009
101,107,0,1,1,0,264369,0.090715276,0.035484493,2009
102,107,0,0,0,1,264369,0.047542906,0.035484493,2009
103,107,1,1,0,1,264369,0.037842448,0.035484493,2009
104,107,1,0,0,0,264369,0.036563266,0.035484493,2009
105,107,0,0,0,0,264369,0.030380556,0.035484493,2009
106,107,1,0,1,1,264369,0.024304445,0.035484493,2009
107,107,0,0,1,1,264369,0.022492272,0.035484493,2009
108,107,0,0,1,0,264369,0.018761326,0.035484493,2009
109,107,1,0,1,0,264369,0.015563373,0.035484493,2009
110,107,1,1,1,1,264369,0.014070995,0.035484493,2009
111,107,1,1,0,0,264369,0.009380663,0.035484493,2009
112,107,1,1,1,0,264369,0.008101482,0.035484493,2009
113,108,0,1,0,1,264369,0.343896714,0.041895986,2009
114,108,0,1,1,1,264369,0.243409173,0.041895986,2009
115,108,0,1,0,0,264369,0.136150235,0.041895986,2009
116,108,0,1,1,0,264369,0.108071506,0.041895986,2009
117,108,1,1,0,1,264369,0.041440953,0.041895986,2009
118,108,1,0,0,1,264369,0.025911882,0.041895986,2009
119,108,0,0,0,1,264369,0.021036475,0.041895986,2009
120,108,1,1,1,1,264369,0.013001083,0.041895986,2009
121,108,0,0,0,0,264369,0.012730228,0.041895986,2009
122,108,0,0,1,1,264369,0.011827375,0.041895986,2009
123,108,1,0,1,1,264369,0.009118815,0.041895986,2009
124,108,1,0,0,0,264369,0.008125677,0.041895986,2009
125,108,0,0,1,0,264369,0.007313109,0.041895986,2009
126,108,1,1,0,0,264369,0.007222824,0.041895986,2009
127,108,1,1,1,0,264369,0.006139401,0.041895986,2009
128,108,1,0,1,0,264369,0.00460455,0.041895986,2009
129,109,1,0,0,1,264369,0.244791667,0.009441349,2009
130,109,0,0,0,1,264369,0.129807692,0.009441349,2009
131,109,1,0,0,0,264369,0.122996795,0.009441349,2009
132,109,0,1,0,1,264369,0.094150641,0.009441349,2009
133,109,0,0,0,0,264369,0.070512821,0.009441349,2009
134,109,0,1,1,1,264369,0.063301282,0.009441349,2009
135,109,1,0,1,1,264369,0.059695513,0.009441349,2009
136,109,0,0,1,1,264369,0.05849359,0.009441349,2009
137,109,1,0,1,0,264369,0.048477564,0.009441349,2009
138,109,0,0,1,0,264369,0.036858974,0.009441349,2009
139,109,0,1,0,0,264369,0.025641026,0.009441349,2009
140,109,1,1,0,1,264369,0.018830128,0.009441349,2009
141,109,0,1,1,0,264369,0.013621795,0.009441349,2009
142,109,1,1,0,0,264369,0.006410256,0.009441349,2009
143,109,1,1,1,1,264369,0.004807692,0.009441349,2009
144,109,1,1,1,0,264369,0.001602564,0.009441349,2009
145,110,1,0,0,1,264369,0.256452956,0.009085785,2009
146,110,0,0,0,1,264369,0.191507077,0.009085785,2009
147,110,0,0,0,0,264369,0.143213988,0.009085785,2009
148,110,1,0,0,0,264369,0.119900083,0.009085785,2009
149,110,1,0,1,1,264369,0.077019151,0.009085785,2009
150,110,0,0,1,1,264369,0.072023314,0.009085785,2009
151,110,1,0,1,0,264369,0.06203164,0.009085785,2009
152,110,0,0,1,0,264369,0.053705246,0.009085785,2009
153,110,0,1,0,1,264369,0.005828476,0.009085785,2009
154,110,1,1,0,1,264369,0.004995837,0.009085785,2009
155,110,0,1,1,0,264369,0.003746878,0.009085785,2009
156,110,0,1,0,0,264369,0.002914238,0.009085785,2009
157,110,1,1,1,0,264369,0.002081599,0.009085785,2009
158,110,0,1,1,1,264369,0.001665279,0.009085785,2009
159,110,1,1,0,0,264369,0.001665279,0.009085785,2009
160,110,1,1,1,1,264369,0.001248959,0.009085785,2009
161,111,1,0,0,1,264369,0.303782148,0.012501466,2009
162,111,1,0,0,0,264369,0.142813918,0.012501466,2009
163,111,0,0,0,1,264369,0.118305598,0.012501466,2009
164,111,1,0,1,1,264369,0.096520424,0.012501466,2009
165,111,0,0,0,0,264369,0.081996974,0.012501466,2009
166,111,1,0,1,0,264369,0.057791225,0.012501466,2009
167,111,0,0,1,1,264369,0.03903177,0.012501466,2009
168,111,0,0,1,0,264369,0.036913767,0.012501466,2009
169,111,0,1,0,1,264369,0.031164902,0.012501466,2009
170,111,1,1,0,1,264369,0.026626324,0.012501466,2009
171,111,0,1,1,1,264369,0.018154312,0.012501466,2009
172,111,0,1,0,0,264369,0.013313162,0.012501466,2009
173,111,1,1,1,1,264369,0.010892587,0.012501466,2009
174,111,0,1,1,0,264369,0.009077156,0.012501466,2009
175,111,1,1,0,0,264369,0.00816944,0.012501466,2009
176,111,1,1,1,0,264369,0.005446293,0.012501466,2009
177,112,1,0,0,1,264369,0.293487088,0.023289417,2009
178,112,1,0,0,0,264369,0.140652915,0.023289417,2009
179,112,1,0,1,1,264369,0.09728764,0.023289417,2009
180,112,0,1,0,1,264369,0.085918467,0.023289417,2009
181,112,1,0,1,0,264369,0.066103622,0.023289417,2009
182,112,0,0,0,1,264369,0.064641871,0.023289417,2009
183,112,1,1,0,1,264369,0.04612636,0.023289417,2009
184,112,0,1,1,1,264369,0.042553191,0.023289417,2009
185,112,0,0,0,0,264369,0.034757187,0.023289417,2009
186,112,0,0,1,1,264369,0.030696768,0.023289417,2009
187,112,0,0,1,0,264369,0.025499432,0.023289417,2009
188,112,0,1,0,0,264369,0.019814845,0.023289417,2009
189,112,1,1,1,1,264369,0.016728926,0.023289417,2009
190,112,0,1,1,0,264369,0.014130258,0.023289417,2009
191,112,1,1,0,0,264369,0.012993341,0.023289417,2009
192,112,1,1,1,0,264369,0.008608088,0.023289417,2009
193,201,1,0,0,1,264369,0.355572998,0.004819022,2009
194,201,1,0,0,0,264369,0.214285714,0.004819022,2009
195,201,1,0,1,1,264369,0.095761381,0.004819022,2009
196,201,1,0,1,0,264369,0.083987441,0.004819022,2009
197,201,0,0,0,1,264369,0.079277865,0.004819022,2009
198,201,0,0,0,0,264369,0.06043956,0.004819022,2009
199,201,0,0,1,1,264369,0.039246468,0.004819022,2009
200,201,0,0,1,0,264369,0.03689168,0.004819022,2009
201,201,1,1,0,1,264369,0.010989011,0.004819022,2009
202,201,0,1,0,1,264369,0.007064364,0.004819022,2009
203,201,0,1,1,0,264369,0.003924647,0.004819022,2009
204,201,0,1,1,1,264369,0.003924647,0.004819022,2009
205,201,1,1,0,0,264369,0.003139717,0.004819022,2009
206,201,0,1,0,0,264369,0.002354788,0.004819022,2009
207,201,1,1,1,0,264369,0.002354788,0.004819022,2009
208,201,1,1,1,1,264369,0.000784929,0.004819022,2009
209,202,1,0,0,1,264369,0.368506494,0.002330077,2009
210,202,1,0,0,0,264369,0.219155844,0.002330077,2009
211,202,1,0,1,1,264369,0.102272727,0.002330077,2009
212,202,1,0,1,0,264369,0.086038961,0.002330077,2009
213,202,0,0,0,1,264369,0.071428571,0.002330077,2009
214,202,0,0,0,0,264369,0.051948052,0.002330077,2009
215,202,0,0,1,0,264369,0.042207792,0.002330077,2009
216,202,0,0,1,1,264369,0.030844156,0.002330077,2009
217,202,0,1,0,0,264369,0.006493506,0.002330077,2009
218,202,1,1,0,1,264369,0.006493506,0.002330077,2009
219,202,0,1,0,1,264369,0.003246753,0.002330077,2009
220,202,0,1,1,0,264369,0.003246753,0.002330077,2009
221,202,1,1,0,0,264369,0.003246753,0.002330077,2009
222,202,1,1,1,1,264369,0.003246753,0.002330077,2009
223,202,1,1,1,0,264369,0.001623377,0.002330077,2009
224,203,1,0,0,1,264369,0.299788136,0.003570767,2009
225,203,1,0,0,0,264369,0.219279661,0.003570767,2009
226,203,1,0,1,1,264369,0.091101695,0.003570767,2009
227,203,0,0,0,0,264369,0.090042373,0.003570767,2009
228,203,1,0,1,0,264369,0.090042373,0.003570767,2009
229,203,0,0,0,1,264369,0.080508475,0.003570767,2009
230,203,0,0,1,0,264369,0.068855932,0.003570767,2009
231,203,0,0,1,1,264369,0.041313559,0.003570767,2009
232,203,1,1,0,0,264369,0.00529661,0.003570767,2009
233,203,1,1,0,1,264369,0.003177966,0.003570767,2009
234,203,1,1,1,1,264369,0.003177966,0.003570767,2009
235,203,0,1,0,0,264369,0.002118644,0.003570767,2009
236,203,1,1,1,0,264369,0.002118644,0.003570767,2009
237,203,0,1,0,1,264369,0.001059322,0.003570767,2009
238,203,0,1,1,0,264369,0.001059322,0.003570767,2009
239,203,0,1,1,1,264369,0.001059322,0.003570767,2009
240,204,1,0,0,1,264369,0.311594203,0.007307967,2009
241,204,1,0,0,0,264369,0.1563147,0.007307967,2009
242,204,0,0,0,1,264369,0.105590062,0.007307967,2009
243,204,1,0,1,1,264369,0.095755694,0.007307967,2009
244,204,1,0,1,0,264369,0.091614907,0.007307967,2009
245,204,0,0,0,0,264369,0.086956522,0.007307967,2009
246,204,0,0,1,0,264369,0.053312629,0.007307967,2009
247,204,0,0,1,1,264369,0.040372671,0.007307967,2009
248,204,1,1,0,1,264369,0.01242236,0.007307967,2009
249,204,0,1,0,1,264369,0.010351967,0.007307967,2009
250,204,1,1,0,0,264369,0.007763975,0.007307967,2009
251,204,0,1,1,1,264369,0.007246377,0.007307967,2009
252,204,0,1,1,0,264369,0.00621118,0.007307967,2009
253,204,1,1,1,1,264369,0.005693582,0.007307967,2009
254,204,1,1,1,0,264369,0.005175983,0.007307967,2009
255,204,0,1,0,0,264369,0.003623188,0.007307967,2009
256,205,1,0,0,1,264369,0.314765694,0.004278111,2009
257,205,1,0,0,0,264369,0.221927498,0.004278111,2009
258,205,1,0,1,0,264369,0.091954023,0.004278111,2009
259,205,1,0,1,1,264369,0.08841733,0.004278111,2009
260,205,0,0,0,0,264369,0.07515473,0.004278111,2009
261,205,0,0,0,1,264369,0.068081344,0.004278111,2009
262,205,0,0,1,0,264369,0.056587091,0.004278111,2009
263,205,0,0,1,1,264369,0.030946065,0.004278111,2009
264,205,1,1,0,0,264369,0.014146773,0.004278111,2009
265,205,1,1,0,1,264369,0.009725906,0.004278111,2009
266,205,0,1,0,1,264369,0.00795756,0.004278111,2009
267,205,0,1,1,0,264369,0.00530504,0.004278111,2009
268,205,0,1,1,1,264369,0.00530504,0.004278111,2009
269,205,0,1,0,0,264369,0.003536693,0.004278111,2009
270,205,1,1,1,1,264369,0.003536693,0.004278111,2009
271,205,1,1,1,0,264369,0.00265252,0.004278111,2009
272,206,1,0,0,1,264369,0.291956306,0.00380907,2009
273,206,1,0,0,0,264369,0.189672294,0.00380907,2009
274,206,1,0,1,1,264369,0.089374379,0.00380907,2009
275,206,1,0,1,0,264369,0.075471698,0.00380907,2009
276,206,1,1,0,1,264369,0.053624628,0.00380907,2009
277,206,0,1,0,1,264369,0.047666336,0.00380907,2009
278,206,0,0,0,0,264369,0.046673287,0.00380907,2009
279,206,0,0,0,1,264369,0.04468719,0.00380907,2009
280,206,0,1,1,1,264369,0.030784508,0.00380907,2009
281,206,0,0,1,0,264369,0.02979146,0.00380907,2009
282,206,0,0,1,1,264369,0.028798411,0.00380907,2009
283,206,1,1,0,0,264369,0.016881827,0.00380907,2009
284,206,0,1,1,0,264369,0.015888779,0.00380907,2009
285,206,0,1,0,0,264369,0.01489573,0.00380907,2009
286,206,1,1,1,1,264369,0.01489573,0.00380907,2009
287,206,1,1,1,0,264369,0.008937438,0.00380907,2009
288,207,1,0,0,1,264369,0.245006658,0.008522179,2009
