boroCD,transport,pct_res,pct_parks,pop_2010,area,pct_white,pct_over65,pct_rent_burd,pct_served_parks,pct_clean_strts,crime,pct_unemployment,pct_poverty,parks,hosp_clinic,pop_dens,pct_non_res
101,115,0.2261,0.0393,60978,1.5,0.716,0.113,0.322,1.0,0.968,15.634251999999998,0.032,0.08800000000000001,27,9,40652.0,0.7739
102,80,0.255,0.0197,90016,1.4,0.716,0.113,0.322,1.0,0.97,25.876288,0.032,0.08800000000000001,16,13,64297.14285714286,0.745
103,45,0.6312,0.08929999999999999,163277,1.7,0.331,0.154,0.382,1.0,0.9229999999999999,14.953954999999999,0.045,0.18,61,33,96045.29411764706,0.3688
104,162,0.2866,0.0111,103245,1.8,0.609,0.121,0.342,0.94,0.97,20.731942,0.040999999999999995,0.10800000000000001,21,26,57358.33333333333,0.7134
105,144,0.0161,0.016200000000000003,51673,1.6,0.609,0.121,0.342,0.94,0.976,87.22637900000001,0.040999999999999995,0.10800000000000001,9,17,32295.625,0.9839
106,169,0.4991,0.0192,142745,1.4,0.6940000000000001,0.172,0.337,0.92,0.9640000000000001,11.039954,0.027999999999999997,0.1,16,44,101960.71428571429,0.5009
107,85,0.6264,0.1467,209084,1.9,0.677,0.18600000000000003,0.331,1.0,0.978,9.673488,0.037000000000000005,0.09,17,14,110044.2105263158,0.37360000000000004
108,253,0.6835,0.0197,219920,2.0,0.76,0.196,0.33399999999999996,0.95,0.9740000000000001,8.826581,0.027000000000000003,0.073,23,37,109960.0,0.3165
109,32,0.7131000000000001,0.1743,110193,1.5,0.28600000000000003,0.114,0.439,1.0,0.9390000000000001,9.408571,0.05,0.235,16,14,73462.0,0.28689999999999993
110,38,0.8645999999999999,0.0356,115723,1.4,0.131,0.09300000000000001,0.401,0.99,0.9209999999999999,15.755434,0.076,0.21100000000000002,21,35,82659.28571428572,0.13540000000000008
111,63,0.5573,0.304,120511,2.4,0.152,0.121,0.381,1.0,0.956,16.355851,0.059000000000000004,0.231,36,54,50212.91666666667,0.4427
112,62,0.5843,0.3028,190020,2.8,0.17800000000000002,0.125,0.467,1.0,0.929,9.273328,0.079,0.19899999999999998,21,33,67864.28571428572,0.41569999999999996
201,62,0.4936,0.0341,91497,2.2,0.016,0.08199999999999999,0.486,0.99,0.903,23.359522,0.061,0.293,13,35,41589.54545454545,0.5064
202,110,0.2776,0.0298,52246,2.2,0.016,0.08199999999999999,0.486,0.97,0.9359999999999999,20.880330999999998,0.061,0.293,18,19,23748.181818181816,0.7223999999999999
203,28,0.6823,0.1338,79762,1.6,0.045,0.084,0.516,1.0,0.892,15.410423000000002,0.08900000000000001,0.308,22,25,49851.25,0.3177
204,67,0.6843,0.1108,146441,2.0,0.017,0.091,0.546,1.0,0.9390000000000001,16.109177,0.07400000000000001,0.32299999999999995,33,26,73220.5,0.3157
205,33,0.8390000000000001,0.0316,128200,1.4,0.013000000000000001,0.075,0.598,1.0,0.9209999999999999,13.975545,0.081,0.344,22,34,91571.42857142858,0.16099999999999992
206,53,0.7154,0.0379,83268,1.5,0.045,0.084,0.516,0.99,0.941,17.414224,0.08900000000000001,0.308,17,27,55512.0,0.28459999999999996
207,45,0.8379000000000001,0.0526,139286,1.9,0.066,0.09,0.55,0.98,0.953,15.823031,0.092,0.264,16,20,73308.42105263159,0.1620999999999999
208,32,0.8973,0.06480000000000001,101731,3.3,0.324,0.166,0.43799999999999994,0.91,0.971,8.827964,0.059000000000000004,0.152,20,10,30827.57575757576,0.10270000000000001
209,61,0.7441,0.1165,172298,4.1,0.027999999999999997,0.11599999999999999,0.48700000000000004,0.89,0.9670000000000001,12.331688,0.079,0.264,27,10,42023.902439024394,0.2559
210,65,0.7423000000000001,0.1335,120392,6.4,0.293,0.193,0.386,0.51,0.99,8.883873,0.054000000000000006,0.14,11,13,18811.25,0.25769999999999993
211,56,0.8415,0.0169,113232,3.6,0.218,0.136,0.469,0.86,0.98,9.378153,0.076,0.205,6,34,31453.333333333332,0.15849999999999997
212,87,0.8328,0.0547,152344,5.6,0.069,0.127,0.504,0.67,0.938,15.674988,0.083,0.23199999999999998,6,17,27204.285714285717,0.16720000000000002
301,151,0.4602000000000001,0.0287,173083,4.7,0.63,0.09,0.406,0.96,0.925,16.143842000000003,0.043,0.17300000000000001,28,19,36826.17021276596,0.5397999999999998
302,113,0.5355,0.0579,99617,2.8,0.447,0.10800000000000001,0.321,0.99,0.948,14.580442999999999,0.055,0.121,28,27,35577.5,0.4645
303,15,0.8717,0.0142,152985,2.9,0.231,0.09300000000000001,0.461,0.95,0.907,20.585544,0.083,0.226,35,20,52753.44827586207,0.12829999999999997
304,21,0.8534,0.0141,112634,2.0,0.14800000000000002,0.083,0.486,0.88,0.9209999999999999,11.884736,0.08800000000000001,0.251,14,14,56317.0,0.14659999999999995
305,85,0.762,0.041900000000000014,182896,5.6,0.038,0.105,0.47100000000000003,0.84,0.9209999999999999,20.905923,0.057,0.298,38,23,32660.000000000004,0.238
306,98,0.5745,0.0392,104709,3.1,0.6459999999999999,0.096,0.293,0.92,0.96,9.79208,0.045,0.095,17,17,33777.096774193546,0.4255
307,77,0.6214999999999999,0.0168,126230,3.7,0.223,0.08900000000000001,0.517,0.87,0.9229999999999999,7.397846,0.051,0.294,16,21,34116.21621621621,0.37850000000000006
308,22,0.8648,0.0367,96317,1.6,0.213,0.106,0.436,0.92,0.919,10.868352,0.057,0.214,8,12,60198.125,0.1352
309,10,0.946,0.0095,98429,1.6,0.198,0.131,0.49,0.91,0.93,12.042475,0.073,0.221,4,16,61518.125,0.05400000000000005
310,35,0.7777,0.1632,124491,4.0,0.573,0.153,0.436,0.81,0.978,6.6066899999999995,0.049,0.19,13,14,31122.75,0.22230000000000005
311,58,0.8967,0.0148,181981,3.7,0.442,0.14800000000000002,0.46799999999999997,0.67,0.9390000000000001,5.908536,0.051,0.23,5,10,49184.05405405405,0.10329999999999995
312,56,0.8789,0.0077,191382,3.6,0.7070000000000001,0.107,0.606,0.74,0.863,6.022785,0.035,0.28300000000000003,6,23,53161.666666666664,0.12109999999999999
313,74,0.6981,0.157,104278,3.2,0.575,0.22399999999999998,0.455,0.95,0.938,8.662746,0.06,0.24,17,12,32586.875,0.30189999999999995
314,21,0.93,0.0205,160664,2.9,0.396,0.121,0.501,0.59,0.934,8.833473,0.055,0.221,2,18,55401.379310344826,0.06999999999999995
315,44,0.9071,0.0294,159650,4.7,0.691,0.172,0.47100000000000003,0.75,0.975,7.90535,0.049,0.19399999999999998,9,18,33968.085106382976,0.09289999999999998
316,26,0.8031999999999999,0.0257,86468,1.9,0.021,0.099,0.512,0.99,0.922,12.58877,0.076,0.282,23,7,45509.47368421053,0.19680000000000009
317,39,0.8881,0.0061,155252,3.4,0.022000000000000002,0.14400000000000002,0.493,0.6,0.958,14.626822,0.057,0.19,6,10,45662.35294117647,0.1119
318,78,0.7222,0.1869,193543,8.5,0.23,0.133,0.434,0.77,0.9329999999999999,9.498186,0.055999999999999994,0.15,17,10,22769.764705882353,0.27780000000000005
401,107,0.5496,0.0291,191105,6.2,0.478,0.12300000000000001,0.392,0.63,0.956,12.989852,0.054000000000000006,0.183,13,18,30823.387096774193,0.4504
402,133,0.4869,0.0122,113200,5.0,0.281,0.11599999999999999,0.442,0.76,0.935,7.547115,0.037000000000000005,0.204,18,7,22640.0,0.5131
403,20,0.9063,0.0228,171576,3.0,0.1,0.113,0.537,0.7,0.948,10.079284,0.043,0.254,15,10,57192.0,0.0937
404,27,0.9003,0.017,172598,2.4,0.063,0.11599999999999999,0.56,0.76,0.948,10.227701,0.039,0.271,12,6,71915.83333333334,0.09970000000000001
405,110,0.7962,0.0467,169190,7.5,0.531,0.125,0.428,0.73,0.973,8.014425,0.042,0.18600000000000003,12,5,22558.666666666668,0.20379999999999998
406,35,0.9013,0.0223,113257,3.0,0.512,0.183,0.449,0.75,0.977,5.406633,0.037000000000000005,0.163,5,7,37752.333333333336,0.09870000000000001
407,270,0.7465999999999999,0.1003,247354,11.8,0.256,0.175,0.5539999999999999,0.79,0.982,7.6530309999999995,0.035,0.252,27,15,20962.20338983051,0.25340000000000007
408,37,0.8934000000000001,0.0979,151107,7.4,0.316,0.141,0.483,0.64,0.978,7.023903,0.057,0.22,17,8,20419.864864864863,0.10659999999999992
409,83,0.9054,0.0053,143317,3.8,0.179,0.10400000000000001,0.483,0.71,0.95,7.364655,0.052000000000000005,0.21899999999999997,4,9,37715.0,0.09460000000000002
410,74,0.8210999999999999,0.077,122396,6.1,0.21600000000000003,0.126,0.508,0.58,0.972,9.70554,0.065,0.18899999999999997,16,5,20064.918032786885,0.17890000000000006
411,54,0.8432999999999999,0.1528,116431,9.4,0.413,0.18,0.44,0.71,0.988,7.0477229999999995,0.036000000000000004,0.135,18,11,12386.27659574468,0.15670000000000006
412,165,0.8493,0.043,225919,9.6,0.017,0.122,0.489,0.75,0.963,12.532472,0.081,0.204,31,35,23533.229166666668,0.15069999999999995
413,88,0.8661,0.0724,188593,12.6,0.11699999999999999,0.153,0.43799999999999994,0.39,0.971,8.711107,0.054000000000000006,0.132,13,6,14967.698412698413,0.13390000000000002
414,43,0.8009999999999999,0.1393,114978,7.0,0.35,0.14,0.45799999999999996,0.85,0.9620000000000001,11.63837,0.054000000000000006,0.179,15,12,16425.428571428572,0.19900000000000007
501,215,0.7231000000000001,0.0702,175756,13.5,0.38,0.121,0.486,0.65,0.961,9.734195,0.039,0.212,52,20,13018.962962962964,0.2768999999999999
502,133,0.6341,0.1346,132003,21.3,0.6829999999999999,0.163,0.46799999999999997,0.68,0.9990000000000001,6.441562,0.034,0.14400000000000002,25,22,6197.3239436619715,0.3659
503,193,0.6953,0.1216,160209,21.5,0.836,0.156,0.409,0.56,0.995,3.109412,0.036000000000000004,0.114,62,1,7451.581395348837,0.30469999999999997
