scale,shape,ER/Office/Hospital,bucket,type,dual-eligible,race,gender,age
357.882749436955,0.814071494758548,1,0,0,0,0,0,0
238.821756911292,1.3273561281171102,1,1000,1,0,0,0,1
371.990027818819,0.762484106243905,1,100,2,0,0,1,0
290.910221528378,1.0740576356279798,1,1100,3,0,0,1,1
278.35713508019404,1.22928711380495,1,10,4,0,1,0,0
272.295047741647,1.35785296847328,1,1010,5,0,1,0,1
412.713994653898,0.8130162923378002,1,110,6,0,1,1,0
334.510154383817,1.06829301977596,1,1110,7,0,1,1,1
267.194874436082,1.08953256982629,1,1,8,1,0,0,0
222.053982022959,1.47193688486758,1,1001,9,1,0,0,1
360.87233236363295,0.784144285035259,1,101,10,1,0,1,0
246.06017532875802,1.2767483483734299,1,1101,11,1,0,1,1
228.87245246835602,1.4470746595373,1,11,12,1,1,0,0
250.91233179118697,1.5017888394750198,1,1011,13,1,1,0,1
223.580848277216,1.4000269040067699,1,111,14,1,1,1,0
306.693950229966,1.16726389212901,1,1111,15,1,1,1,1
7095.722411805609,1.16246381954784,2,0,0,0,0,0,0
6386.20154663796,1.10804639435744,2,1000,1,0,0,0,1
13006.7442216529,0.713709317637823,2,100,2,0,0,1,0
10705.3780260253,0.7520255475281079,2,1100,3,0,0,1,1
8551.4715982075,1.10607678322723,2,10,4,0,1,0,0
6362.00541348844,1.21348867083449,2,1010,5,0,1,0,1
15207.4411932608,0.755216926458569,2,110,6,0,1,1,0
11622.562324831599,0.8058333106548891,2,1110,7,0,1,1,1
6654.124749328671,1.0486383218106,2,1,8,1,0,0,0
4899.32093899492,1.2363395979681202,2,1001,9,1,0,0,1
9484.67674841313,0.770569281007651,2,101,10,1,0,1,0
8078.6531036755205,0.825333492886209,2,1101,11,1,0,1,1
9267.062062946601,0.7979105301390551,2,11,12,1,1,0,0
5191.3465923904905,1.20120549537833,2,1011,13,1,1,0,1
14580.715601413898,0.613496766614834,2,111,14,1,1,1,0
12170.150585553101,0.6313976531496039,2,1111,15,1,1,1,1
289.329642358169,0.33247526602363203,3,0,0,0,0,0,0
204.253013111272,0.45365058891979204,3,1000,1,0,0,0,1
284.79183900885397,0.350401599325981,3,100,2,0,0,1,0
275.095679093552,0.36976037209821394,3,1100,3,0,0,1,1
247.97202822608898,0.389455375942591,3,10,4,0,1,0,0
206.809436641151,0.45459018791721,3,1010,5,0,1,0,1
271.968538861727,0.3735823736930471,3,110,6,0,1,1,0
280.500750049694,0.36915781577544504,3,1110,7,0,1,1,1
189.550624408642,0.46937917295144604,3,1,8,1,0,0,0
163.290375844427,0.542874569581345,3,1001,9,1,0,0,1
271.59165514246,0.353949612387105,3,101,10,1,0,1,0
249.333452647216,0.3932148854000279,3,1101,11,1,0,1,1
184.749561461634,0.587375262927051,3,11,12,1,1,0,0
179.11054787900002,0.5843240869690601,3,1011,13,1,1,0,1
223.07183343848098,0.5047868373711639,3,111,14,1,1,1,0
232.88349190958303,0.494121526967536,3,1111,15,1,1,1,1
