,V1,bucket,n_mixture,mean,lambda_1,alpha_1,beta_1,lambda_2,alpha_2,beta_2,lambda_3,alpha_3,beta_3,lambda_4,alpha_4,beta_4,lambda_5,alpha_5,beta_5,lambda_6,alpha_6,beta_6,lambda_7,alpha_7,beta_7,lambda_8,alpha_8,beta_8,lambda_9,alpha_9,beta_9,lambda_10,alpha_10,beta_10,lambda_11,alpha_11,beta_11,lambda_12,alpha_12,beta_12,lambda_13,alpha_13,beta_13,lambda_14,alpha_14,beta_14,lambda_15,alpha_15,beta_15,lambda_16,alpha_16,beta_16,lambda_17,alpha_17,beta_17,lambda_18,alpha_18,beta_18,lambda_19,alpha_19,beta_19,lambda_20,alpha_20,beta_20
1,1,0,20,33.58134,0.048303747,14.34229137,12657.80391,0.030332152,52.27566851,5449.660146,0.048648749,82.50393827,4740.275772,0.048992385,107.7875075,4843.416771,0.080598821,249.7928127,2529.563805,0.025832084,357.4112122,2101.002668,0.047648233,149.458159,6048.697884,0.036855564,662.6422227,1642.366316,0.040499638,6898.082124,174.9265063,0.032838552,396.3156846,3212.202164,0.022160918,1285.338733,1120.911346,0.088840821,223.4242717,7797.376394,0.005584133,5672.125447,348.5554708,0.030861269,507.7303469,4171.853285,0.023091402,2078.429192,1132.47578,0.043603728,890.3692246,2799.290396,0.107668642,109.7865064,28927.08704,0.11070208,53.99681442,87873.57369,0.081778737,42.95836414,180998.751,0.045158345,6.954313148,2289547.09
2,1,1,10,28.51358,0.098557721,11.45561615,18615.1821,0.207798503,23.36958356,22526.48225,0.123018862,39.96034464,23373.4088,0.091694126,188.8816649,6862.726624,0.211027034,35.68783446,58358.86991,0.012031115,1752.198824,1625.897495,0.057865378,196.2251727,16723.47994,0.167501518,11.48088748,514573.8086,0.001168157,6293.023136,1694.991063,0.029337587,6.031882101,2791782.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,10,20,30.07301,0.056506428,14.76009447,3.503128139,0.086351584,28.68419954,3.447901147,0.019723173,179.0359731,0.7703817,0.04600598,169.250225,0.918743356,0.083627958,174.4926791,1.034078092,0.048462865,202.0384632,1.148792223,0.036994251,491.0045706,0.568832491,0.034940223,845.7258726,0.3776143,0.082227857,212.4830542,1.69290811,0.034440572,552.5703581,0.799991949,0.049500471,1196.688223,0.417036096,0.049764253,294.9940205,1.944171712,0.049483911,1405.318704,0.475608663,0.079438141,197.0208612,4.083652587,0.008940782,2712.433938,0.344967555,0.034391105,1024.92666,0.991704069,0.058762945,167.7587282,7.440072172,0.051310592,93.56679458,18.11054324,0.006509216,2296.829609,0.909473035,0.082617693,5.809349105,558.8993206
4,1,11,15,18.16105,0.007518477,8.875815882,14478.09922,0.109866746,24.06567939,8544.19833,0.081167339,67.89242002,4739.431303,0.05634953,931825.8133,0.46354532,0.060434176,175.7979498,2971.773196,0.093282662,432.9838844,1424.315553,0.059806493,311.4299853,2314.192524,0.097270144,82.2027464,11361.43627,0.093081048,272.8586513,4502.054073,0.032796383,517.4730616,2846.370855,0.041562078,481.1059881,3533.691649,0.06746658,131.347938,15552.87736,0.040497014,490.1944444,5149.327449,0.081885869,47.44224718,73087.21616,0.07701546,3.070443802,2571004.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,100,20,34.90986,0.063276145,13.53874121,14547.74605,0.050866646,39.94199538,8827.644298,0.07095933,68.529637,7607.449049,0.099047261,97.14109043,6899.936542,0.061827613,140.9316483,6752.981513,0.093448867,320.774222,3796.954757,0.046456585,288.1692789,5206.773846,0.046853201,845.3674946,2087.72178,0.032748016,580.0880642,3358.877633,0.0103447,3077.357498,695.4701185,0.00874468,5583248.26,0.402297806,0.086257092,236.6544711,10646.53159,0.062203599,282.1621764,11173.17246,0.073365882,143.791857,27918.90493,0.008661361,7706.100303,619.8219405,0.014765454,1521.417618,3272.369151,0.022246072,2374.261642,2296.881193,0.02890295,383.9679777,16315.44103,0.051309125,142.9463018,55839.61541,0.067715421,5.165501035,2941542.182
6,1,101,20,28.68591,0.085090812,13.95010408,14224.61461,0.085136561,42.58577041,8722.620999,0.038022744,336.3316093,1510.952341,0.075658358,886.1927279,676.5630911,5.04E-13,419.5007143,1471.382416,0.050695886,305.5540513,2363.412094,0.052215898,180.9767373,4819.805983,0.023853551,887.9582117,1148.183318,0.07215566,456.5264295,2559.244592,0.015252433,1622.650681,789.622838,0.068154272,163.9692956,9096.36319,0.037180434,1847.873103,967.1122382,0.012154343,3798402.571,0.500345326,0.043785208,291.3723031,7141.087432,0.024409688,3114.110175,762.4209982,0.045276758,661.8984975,3803.063538,0.040325012,800.4586131,3646.278159,0.068256701,108.3594095,33409.1548,0.06999944,52.5698422,102966.1945,0.092376241,3.736712289,3145806.486
7,1,110,15,30.56891,0.11641417,9.365403914,26935.61462,0.068221784,125.251457,3831.76432,0.067958969,6357.275566,95.0131887,0.099373199,57.23333255,13565.49563,0.098832056,201.9392944,5628.218029,0.012517371,2697.481113,477.2621418,0.04658913,235.3121787,6035.030711,0.047772248,567.0802153,3029.745151,0.095898948,96.49770645,21793.88806,0.083715671,152.5009258,17844.99599,0.017471327,1090.169244,2921.095374,0.100550859,72.18018336,56762.3367,0.059418525,85.84040638,70143.39346,0.025969982,374.1142979,21332.86136,0.05929576,6.500692729,2069358.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,111,10,19.00313,0.026512519,25.9901487,6132.633602,0.05440902,31.34004187,6035.344797,0.149869409,25.0812354,13497.30304,0.085171888,91.49484866,5684.773603,0.134021709,115.5148034,5673.428589,0.087251678,104.3362795,8770.654876,0.10922999,178.1373332,6888.589696,0.134339092,47.6762412,39098.92337,0.087851989,64.44818903,44500.74199,0.131342707,2.445440597,2719339.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1000,20,33.28563,0.066036664,13.78294201,14833.52399,0.026696898,450048.7046,0.767749657,3.55E-13,80.60760604,4796.069792,0.049004694,122.7902591,3877.876335,0.074851409,225.7907181,2571.966799,0.081086195,78.16201885,9867.552849,0.048587635,247.8873098,4201.687766,0.068175725,705.9932933,1724.855113,0.066051905,154.3719643,9605.816744,0.038963204,1791.898101,993.3267454,0.07038788,152.1756396,13646.30229,0.064578387,855.3718112,2894.58458,0.060018929,541.8992108,5396.06329,0.010567205,2007.265936,1597.82581,0.084096076,152.1963864,25241.30568,0.077528997,124.3471894,42276.40453,0.001718512,7363.942693,851.7244905,0.069906108,75.43502441,103851.893,0.033541943,29.62269792,432434.6673,0.008201634,14.90254757,1720586.459
10,1,1001,20,29.62876,0.042156874,29.35818658,5482.48248,0.089465527,20.47139652,15886.37622,0.04648319,134.1695257,3616.620735,0.089774532,188.1215361,3217.095165,0.071502188,110.131052,7152.545384,0.031319088,533.3365461,1855.857292,0.022214929,706.3887002,1546.267023,0.047496923,1163.815052,1023.746458,0.072869791,152.999379,9031.778225,0.084856418,266.3657035,6756.060105,0.043836434,458.9107194,4794.477482,0.00122124,23614.2214,102.2848557,0.031706697,3899557.974,0.620501468,0.011267962,47861.65587,52.31113199,0.055929876,330.2646379,8467.272102,0.042474919,304.3164713,10674.0823,0.012990608,7897878.371,0.459396068,0.042014597,194.3873944,20788.02406,0.071778293,63.16706199,89211.63672,0.088639914,3.86282816,3024722.183
