type,ndays,day0,ratio0,day1,ratio1,day2,ratio2,day3,ratio3,day4,ratio4,day5,ratio5,day6,ratio6,day7,ratio7,day8,ratio8,day9,ratio9,day10,ratio10,day11,ratio11,day12,ratio12,day13,ratio13,day14,ratio14,day15,ratio15,day16,ratio16,day17,ratio17,day18,ratio18,day19,ratio19,day20,ratio20,day21,ratio21,day22,ratio22,day23,ratio23,day24,ratio24,day25,ratio25,day26,ratio26,day27,ratio27,day28,ratio28,day29,ratio29,day30,ratio30,day31,ratio31,day32,ratio32,day33,ratio33,day34,ratio34,day35,ratio35,day36,ratio36,day37,ratio37,day38,ratio38,day39,ratio39,day40,ratio40,day41,ratio41,day42,ratio42,day43,ratio43,day44,ratio44,day45,ratio45,day46,ratio46,day47,ratio47,day48,ratio48,day49,ratio49,day50,ratio50,day51,ratio51,day52,ratio52,day53,ratio53,day54,ratio54,day55,ratio55,day56,ratio56,day57,ratio57,day58,ratio58,day59,ratio59,day60,ratio60,day61,ratio61,day62,ratio62,day63,ratio63
0,63,7.0,0.07420150144061333,14.0,0.05936049200105411,6.0,0.041705316062174834,4.0,0.04039379510108477,2.0,0.037939732104917016,8.0,0.0369609972033694,5.0,0.03659267034400251,3.0,0.03597384663728784,20.0,0.029649173771916032,12.0,0.028627137008357156,19.0,0.02623801152726433,10.0,0.024604279463506476,9.0,0.024508988117605962,13.0,0.024206893992210734,27.0,0.024184626707673195,28.0,0.022815295965636955,21.0,0.01988769858373088,11.0,0.018410005829725403,16.0,0.018325817173182095,29.0,0.01749869747960117,15.0,0.015748216146494857,36.0,0.014621647708203683,35.0,0.014205319149685694,37.0,0.01390580047430067,22.0,0.01367752597847738,23.0,0.013306013633535101,17.0,0.013281130387670138,24.0,0.013228281411711045,18.0,0.013148416332497232,26.0,0.012691645268601644,34.0,0.01266605245822111,38.0,0.012319172138757375,33.0,0.010297220487258181,39.0,0.010280619517333145,25.0,0.009391295286683404,40.0,0.008221261898558962,1.0,0.00812319768961328,30.0,0.007898350410701702,32.0,0.0076206466453193405,53.0,0.007077747452555944,54.0,0.007020192269658793,52.0,0.007007034100795,55.0,0.006843756131576603,51.0,0.006805792205710169,56.0,0.006563757380399327,50.0,0.0064795111337252785,41.0,0.006471081827882011,57.0,0.006199860587624817,49.0,0.0060678254799653,58.0,0.005774311587394857,31.0,0.005627174481724781,48.0,0.0055856849027707215,59.0,0.00531018899204834,42.0,0.0052093124232530635,47.0,0.005081884136285326,60.0,0.004829835283700516,46.0,0.004622473958634194,43.0,0.004474037932271136,61.0,0.004353582560984412,45.0,0.004294489763437961,44.0,0.004205317280531832,62.0,0.0038988353102853094,63.0,0.0034795232782460954,,
1,63,7.0,0.06085406260389017,6.0,0.05589186536580257,14.0,0.05481533599875272,2.0,0.04214335088426462,4.0,0.03522581563234297,9.0,0.03491566630331045,8.0,0.030115779976016582,5.0,0.029576790658112535,28.0,0.028762195509126443,20.0,0.02814064018503018,12.0,0.02806908568090045,21.0,0.026055810953549197,13.0,0.025890536653991873,29.0,0.02553066863748062,3.0,0.024783086960138062,17.0,0.021677699722276757,15.0,0.020629780230267698,10.0,0.019719891983961426,11.0,0.018697829365864938,34.0,0.017975030582762418,33.0,0.01758912954102421,16.0,0.017474574919773327,18.0,0.016465476513192516,24.0,0.01638958087031349,23.0,0.01551794426206992,27.0,0.015247968207291117,25.0,0.013449976221874766,35.0,0.012439719084243994,22.0,0.011902143523930727,44.0,0.010816341936614762,32.0,0.010808257641274147,43.0,0.010493446029678949,45.0,0.010320726371774279,26.0,0.010110964796556817,30.0,0.009975001600937448,19.0,0.009452124582524452,42.0,0.009414873185290554,46.0,0.009180815438839801,36.0,0.009107949924516849,37.0,0.008223800699508062,41.0,0.0077581489240984396,47.0,0.007675723740082775,60.0,0.006608166937409761,59.0,0.006509237398258133,61.0,0.0064868074198627095,58.0,0.006182654965239785,62.0,0.006165992916266881,48.0,0.0061147481765369115,40.0,0.005856674674474128,57.0,0.005710677580350794,63.0,0.005684432688006112,1.0,0.005527049109380781,31.0,0.005324121236616755,56.0,0.005093249465793462,64.0,0.0050921410081249075,38.0,0.0050530864520371,49.0,0.004758066772397303,65.0,0.004443077579935371,55.0,0.004424440184868496,39.0,0.004320695679774941,54.0,0.003798436105559393,66.0,0.0037884039206903253,50.0,0.0037722278251616313,,
2,63,7.0,0.06207969278076006,6.0,0.0522384090866869,14.0,0.046608591786437774,8.0,0.045497663349978214,2.0,0.044922451489445764,13.0,0.04349137139339084,4.0,0.03744482220175637,5.0,0.03616034033005037,3.0,0.03344571104311611,20.0,0.02987019803273087,11.0,0.027560859982142888,10.0,0.026253833286511125,28.0,0.021684042376526352,19.0,0.02144262195135315,17.0,0.020087475437742763,29.0,0.018917842923217777,27.0,0.018631703548970036,21.0,0.018241030105204836,12.0,0.017704867907013613,16.0,0.01744435625402791,9.0,0.01691821585766831,15.0,0.016878702133669026,25.0,0.016401539894323053,22.0,0.015601271870632032,35.0,0.013940321811891388,30.0,0.012960934961102828,36.0,0.012900437896729332,34.0,0.01232810414908184,26.0,0.011707086819540203,18.0,0.011616436002586977,24.0,0.011507530898187644,37.0,0.01007184752291274,33.0,0.009182444881324634,23.0,0.009129467570455657,45.0,0.00909288116026277,44.0,0.009092082125301677,46.0,0.008483141087357832,43.0,0.008481295730138888,61.0,0.008288097147071528,31.0,0.008170931880774288,1.0,0.008061054260216576,47.0,0.007406662192085557,53.0,0.007400695885575249,42.0,0.007395339442938198,38.0,0.007194553618605486,32.0,0.0070280114561900794,54.0,0.006833290143640135,60.0,0.006761104113012156,41.0,0.006177898653624201,48.0,0.0060716290046712255,62.0,0.005818590936351835,39.0,0.00554007843913446,40.0,0.0053505728170416276,55.0,0.005078711544798011,56.0,0.00476061004570255,49.0,0.004689170223471032,70.0,0.004040505351964131,69.0,0.003935197105406113,71.0,0.003875830952111594,68.0,0.0035644344970467766,89.0,0.0035197507739832433,88.0,0.0035167083991529237,72.0,0.003498943475200446,,
3,58,7.0,0.06831128443916026,6.0,0.051435874763395395,14.0,0.05011032123651954,3.0,0.043464056493453675,8.0,0.04216034470882297,2.0,0.03801267394385299,15.0,0.034915118667951904,4.0,0.03273184698884004,5.0,0.03269529626629797,21.0,0.03207570535305834,9.0,0.03067929405792625,11.0,0.02903914591379567,12.0,0.028345487788521116,13.0,0.02704536033821259,26.0,0.025251080256525248,27.0,0.023098079187126624,34.0,0.021674457590128985,20.0,0.021121659952892287,18.0,0.020445073809140627,22.0,0.019143101513362636,25.0,0.018226458443886904,10.0,0.017835317261931577,19.0,0.01588812562577243,28.0,0.01560721509401636,17.0,0.015175388788014006,41.0,0.013708186386924406,35.0,0.013699848282224744,31.0,0.011982416044454294,40.0,0.011508365088516761,30.0,0.011453698652390116,29.0,0.011114371535793973,1.0,0.010796355946414432,16.0,0.010741131868509578,32.0,0.00944506356541349,42.0,0.00870703719071035,24.0,0.008586794013265233,33.0,0.0073538859841277065,52.0,0.007022987065772012,53.0,0.006944812474594076,51.0,0.006902816147432867,38.0,0.006737406330397873,54.0,0.006686616935998829,50.0,0.0065836703152182385,55.0,0.006280912794900085,23.0,0.006144790533558921,49.0,0.006083745338093369,36.0,0.006013450298564488,56.0,0.005769363411472244,48.0,0.005438363564783843,57.0,0.005197223399597201,39.0,0.0051838547357928805,47.0,0.004695561930886608,37.0,0.0046781058549591505,58.0,0.004608187495107444,59.0,0.00404033407703536,43.0,0.003969667826690788,46.0,0.003909683235612866,60.0,0.003523523192179309,,,,,,,,,,,,
4,61,7.0,0.07263880732503968,6.0,0.05638155026502457,4.0,0.04959918927169952,2.0,0.04350261611971539,13.0,0.04220518858584376,3.0,0.038224048116556636,14.0,0.03631030599016997,20.0,0.0362442913077481,8.0,0.03414250848062348,5.0,0.033111647225970556,15.0,0.03014701723738441,9.0,0.02973854426493836,27.0,0.029360420247519586,11.0,0.029275070155783317,12.0,0.022871247404512376,10.0,0.022033819379948437,26.0,0.018902893242468643,18.0,0.01842894320319745,21.0,0.0168334175103125,23.0,0.016473870078486316,19.0,0.015966050754461846,32.0,0.015610016272255497,17.0,0.014968314294095203,33.0,0.014553421317085006,31.0,0.013878149716865339,22.0,0.013342963836051214,16.0,0.012963194166996901,24.0,0.012305092091100358,41.0,0.012235988487729261,28.0,0.011717659133208493,34.0,0.011374777746365397,40.0,0.010603376304372577,30.0,0.010113790574179653,1.0,0.008814574408287493,42.0,0.008411303511292129,35.0,0.0075585822196402455,25.0,0.007424663137534319,50.0,0.007202867217419358,49.0,0.00703195554207769,51.0,0.006942390636404168,38.0,0.006530660108435156,29.0,0.006517882961698216,37.0,0.006437322013357201,48.0,0.0064328967794877855,52.0,0.006331467050094828,39.0,0.0062152857688997434,53.0,0.0055072922019400086,47.0,0.005496269495098794,36.0,0.005033044787777055,54.0,0.004623595042358919,46.0,0.0043718746570811625,43.0,0.004223487533225092,55.0,0.00381421703838208,67.0,0.0037874005968589718,68.0,0.0037834693198677046,66.0,0.0037232949621939415,69.0,0.0037144280009821606,65.0,0.0035923188656379283,70.0,0.0035868178275370467,64.0,0.0034224366549140115,71.0,0.0034100115538070585,,,,,,
5,62,7.0,0.0744602649829256,6.0,0.04960079729909381,4.0,0.04799993577593813,2.0,0.047639629385250196,13.0,0.04758954343888677,14.0,0.040306022467699175,8.0,0.03798207248519967,9.0,0.03619345604528818,20.0,0.03309135641133124,3.0,0.031639955250363935,15.0,0.028597204307073833,19.0,0.027950010206401872,11.0,0.02789609387511735,5.0,0.027556635879892797,26.0,0.025129510922113595,12.0,0.024825524734399633,27.0,0.024167805330651014,28.0,0.017088450731249125,10.0,0.01690671575403196,32.0,0.016525130510979657,21.0,0.016469902007154213,23.0,0.01534140447594909,33.0,0.014589748846463689,16.0,0.014139049926051452,24.0,0.013528813411801137,17.0,0.011712750222819528,22.0,0.0112688053795086,18.0,0.01053833791966648,31.0,0.010310127797779258,37.0,0.0096651287753696,38.0,0.009141870466174618,34.0,0.00907918654115047,36.0,0.008624231666116354,30.0,0.008361550971256905,29.0,0.007916736627035681,39.0,0.007577349724413338,1.0,0.007390246240991243,35.0,0.007329918002640429,25.0,0.0072469623238257015,46.0,0.007085933391767642,45.0,0.007054898016305373,47.0,0.006752546298439619,44.0,0.006674668074426089,48.0,0.006136449604242978,40.0,0.0060847460381262776,43.0,0.006059906639693598,42.0,0.005491591768612875,41.0,0.005378398009961664,49.0,0.005368568960442535,60.0,0.004832630432197988,59.0,0.00476443903022503,61.0,0.004729854046295749,50.0,0.004590751901191617,58.0,0.004539795821231032,62.0,0.004462539268216076,57.0,0.004202788871362734,63.0,0.0040844515072377555,51.0,0.003927287890958403,56.0,0.0038223389060937593,64.0,0.003629678194700825,55.0,0.003482049303333535,52.0,0.0034654509048813844,,,,
6,62,7.0,0.09247720190693005,3.0,0.05124759662402257,5.0,0.049845320634873104,13.0,0.046206782920095515,2.0,0.045645441877108596,12.0,0.03621950094518293,9.0,0.03604745328628499,6.0,0.033500695105638356,8.0,0.03349497403049735,14.0,0.03129783072570161,19.0,0.02681797922163787,4.0,0.024386328049868452,20.0,0.024249058449816473,15.0,0.02372250839771537,10.0,0.020377898314173696,16.0,0.01984680003786139,24.0,0.017861478731398497,23.0,0.017850444665757075,30.0,0.015889177347583855,25.0,0.0157395445973966,22.0,0.015319533248060397,31.0,0.015285731788613234,29.0,0.014701050866133169,21.0,0.01445539762514302,11.0,0.014129234986850925,26.0,0.013264220562434351,28.0,0.012927339357094069,32.0,0.012893095838219557,17.0,0.012865867306645682,27.0,0.01214548306645861,18.0,0.012125409670100269,36.0,0.010011720010469245,33.0,0.009831515343845024,35.0,0.009667983598289442,46.0,0.008497571071670809,45.0,0.00848444316302427,34.0,0.008305019541801698,47.0,0.008228542437454025,44.0,0.008199579044681528,48.0,0.007729267390115011,43.0,0.007640673206341624,49.0,0.0070600193914127545,42.0,0.00685329957394376,37.0,0.0068531692357240515,1.0,0.006552937434007813,50.0,0.006290529972889516,41.0,0.005906215143148082,51.0,0.005490856311235214,40.0,0.004923026190414532,52.0,0.004723824288809382,38.0,0.004305634335054616,39.0,0.004108309899834403,53.0,0.00403984821339365,67.0,0.003917711172244555,66.0,0.003889920910908743,68.0,0.003869099946647999,65.0,0.0037991887061118767,69.0,0.0037737627223523957,64.0,0.003652697916904762,70.0,0.003620149968557196,54.0,0.003474297335903717,63.0,0.003462806337510557,,,,
7,56,7.0,0.08529645636701591,14.0,0.06136250000061517,5.0,0.04937810860178378,6.0,0.044990534676224256,2.0,0.04375833956209091,4.0,0.04210083174666394,3.0,0.042034655954633265,8.0,0.04003337685557055,9.0,0.03577946727789839,12.0,0.03425878550104157,20.0,0.030828022801815444,21.0,0.028010418870462826,15.0,0.02751551015420063,28.0,0.025418326753899892,11.0,0.022021123058453596,34.0,0.02163881133722806,10.0,0.01898718916179232,18.0,0.017604470364070528,13.0,0.017549775507466416,16.0,0.016715408400196533,27.0,0.015876446517456917,17.0,0.015770906552593517,25.0,0.01575714088775876,19.0,0.015175451929110793,29.0,0.015059002250510895,26.0,0.014380410323447454,24.0,0.012703828278247875,22.0,0.011397425005352105,32.0,0.011202757404643755,39.0,0.009924915598357639,40.0,0.009307906552647386,38.0,0.009234575003999658,31.0,0.009220466411403174,33.0,0.009203086264896443,23.0,0.008135353083321814,1.0,0.007996219713803996,41.0,0.007751063136460864,37.0,0.007452105324805193,30.0,0.006504179359238975,42.0,0.005922471454726257,52.0,0.005866846256011448,51.0,0.005829805641010679,53.0,0.005706417349849864,50.0,0.00558663952901959,36.0,0.005424092047317417,54.0,0.005378321629174859,49.0,0.005169277877656322,55.0,0.004927417141732971,48.0,0.004616930904930719,35.0,0.0044746947692185434,43.0,0.004416550916455862,56.0,0.004405835241558854,47.0,0.004023867069709293,57.0,0.003865253576787302,44.0,0.003535278651179676,46.0,0.0035149473924790953,,,,,,,,,,,,,,,,
8,64,6.0,0.0733304592860309,5.0,0.0635564773304872,2.0,0.05602800962878048,7.0,0.049168315786917396,3.0,0.03986440427937096,15.0,0.03779405599769506,14.0,0.037602672298014575,10.0,0.033494790471632695,4.0,0.030913353450382288,11.0,0.03047281985522435,8.0,0.029657422177452868,9.0,0.02903592762555333,23.0,0.024319141464030504,22.0,0.02368886905960353,13.0,0.02353572095663815,24.0,0.02340046402148783,12.0,0.022397097036841094,21.0,0.021494062564638906,25.0,0.021223275448663117,16.0,0.020695714529188745,26.0,0.01823853656058697,20.0,0.01804001361317041,27.0,0.014927744597657486,19.0,0.013905146840649212,28.0,0.011712781910568248,32.0,0.011337251822942604,37.0,0.011275706188327171,36.0,0.010767741453066975,38.0,0.010531178050546201,17.0,0.010283224573641635,18.0,0.010232276762348391,33.0,0.009582229327161565,35.0,0.009217081262183655,1.0,0.009203781817621074,29.0,0.008898525289187354,39.0,0.008867799448362695,34.0,0.007803756911547751,31.0,0.007667056598988652,30.0,0.006878518078798796,40.0,0.006855281238686566,41.0,0.0051158790827299265,61.0,0.003989912901530587,62.0,0.0039853258260790095,60.0,0.003983403197059726,63.0,0.003970048319101306,59.0,0.003965466156983291,64.0,0.003944553243428184,58.0,0.0039358559769906536,65.0,0.00390937055650672,57.0,0.0038944200501467583,42.0,0.003869582510795412,66.0,0.0038650779102780515,56.0,0.003841106694836452,67.0,0.0038122914139062988,55.0,0.0037759719502229432,68.0,0.00375165668378244,54.0,0.003699185219903009,69.0,0.003683840286345495,53.0,0.003611033544461947,70.0,0.0036095216606869267,71.0,0.0035293855899693836,52.0,0.003511924289338945,72.0,0.003444115273714642,51.0,0.003402386046524653
9,63,7.0,0.06387462521984798,6.0,0.05651515341652226,13.0,0.05067434715819715,2.0,0.043378561418867215,5.0,0.04329551527663796,3.0,0.04234631384711954,27.0,0.04208325643950435,4.0,0.039887844098751235,8.0,0.032954659572432606,9.0,0.03293348364578354,20.0,0.02973795374262481,11.0,0.028668884689750204,19.0,0.025582553353210812,15.0,0.02556585180621434,14.0,0.025553559097060675,12.0,0.025196503983870563,16.0,0.020546671381970753,21.0,0.018983615020493907,40.0,0.018199823464576693,10.0,0.018128270086852104,24.0,0.01674522188953739,31.0,0.01500420116300871,30.0,0.013570492485364629,25.0,0.013278139109991842,28.0,0.013231569596975625,18.0,0.013202160684341536,32.0,0.01287461808889403,17.0,0.011323619321610842,23.0,0.011280211524615412,33.0,0.010204412570034854,35.0,0.00974943566600589,1.0,0.009726551020782731,36.0,0.009564727713082097,34.0,0.009353886765302903,22.0,0.009279825591271006,29.0,0.008845989072972448,37.0,0.008041371743464178,44.0,0.006357240773146072,45.0,0.006340727003588178,26.0,0.005955210694867068,38.0,0.005897884080930498,43.0,0.00587642326954831,46.0,0.0058534043242295325,47.0,0.005077437095494449,42.0,0.005022992898780059,61.0,0.004632332636234363,62.0,0.0046131852829574506,60.0,0.004583048821906517,63.0,0.0045291101820452845,59.0,0.004465118546003416,64.0,0.004386452845967595,39.0,0.004292864975112164,58.0,0.004281816443353744,48.0,0.0042365067814415696,65.0,0.004193775713395122,41.0,0.004150172395659611,57.0,0.004039821478240946,66.0,0.003961130247745115,56.0,0.0037675431474944597,67.0,0.0036993033986216133,49.0,0.0035175667911219294,55.0,0.0034659422571527263,68.0,0.0034191071874174438,,
