patient_type_notol,notol_count,bucket,notol_bucket_count,notol_bucket_prop,type,dual-eligible,race,gender,age
EM,177326,0.0,8020.5,0.045230254000000004,0.0,0.0,0.0,0.0,0.0
EM,177326,1000.0,8218.0,0.046344022,1.0,0.0,0.0,0.0,1.0
EM,177326,100.0,5062.5,0.028549112999999997,2.0,0.0,0.0,1.0,0.0
EM,177326,1100.0,4165.5,0.023490632999999997,3.0,0.0,0.0,1.0,1.0
EM,177326,10.0,16018.0,0.090330803,4.0,0.0,1.0,0.0,0.0
EM,177326,1010.0,35356.0,0.199384185,5.0,0.0,1.0,0.0,1.0
EM,177326,110.0,13029.0,0.073474843,6.0,0.0,1.0,1.0,0.0
EM,177326,1110.0,20782.5,0.117199395,7.0,0.0,1.0,1.0,1.0
EM,177326,1.0,10224.5,0.057659339000000004,8.0,1.0,0.0,0.0,0.0
EM,177326,1001.0,16855.5,0.09505374300000001,9.0,1.0,0.0,0.0,1.0
EM,177326,101.0,4665.0,0.026307478999999998,10.0,1.0,0.0,1.0,0.0
EM,177326,1101.0,5953.0,0.033570937,11.0,1.0,0.0,1.0,1.0
EM,177326,11.0,6803.0,0.038364367999999996,12.0,1.0,1.0,0.0,0.0
EM,177326,1011.0,12010.0,0.067728365,13.0,1.0,1.0,0.0,1.0
EM,177326,111.0,4141.0,0.023352469,14.0,1.0,1.0,1.0,0.0
EM,177326,1111.0,5835.0,0.032905496,15.0,1.0,1.0,1.0,1.0
EM,177326,,187.0,0.001054555,,,,,
ER,2985,0.0,90.5,0.030318257999999997,0.0,0.0,0.0,0.0,0.0
ER,2985,1000.0,134.5,0.045058626,1.0,0.0,0.0,0.0,1.0
ER,2985,100.0,73.5,0.024623116,2.0,0.0,0.0,1.0,0.0
ER,2985,1100.0,58.5,0.01959799,3.0,0.0,0.0,1.0,1.0
ER,2985,10.0,25.0,0.008375209,4.0,0.0,1.0,0.0,0.0
ER,2985,1010.0,241.5,0.08090452299999999,5.0,0.0,1.0,0.0,1.0
ER,2985,110.0,26.0,0.008710218,6.0,0.0,1.0,1.0,0.0
ER,2985,1110.0,102.0,0.034170854,7.0,0.0,1.0,1.0,1.0
ER,2985,1.0,292.5,0.09798995,8.0,1.0,0.0,0.0,0.0
ER,2985,1001.0,848.5,0.284254606,9.0,1.0,0.0,0.0,1.0
ER,2985,101.0,180.0,0.060301508,10.0,1.0,0.0,1.0,0.0
ER,2985,1101.0,220.0,0.073701843,11.0,1.0,0.0,1.0,1.0
ER,2985,11.0,63.5,0.021273032,12.0,1.0,1.0,0.0,0.0
ER,2985,1011.0,450.0,0.150753769,13.0,1.0,1.0,0.0,1.0
ER,2985,111.0,51.5,0.017252931000000003,14.0,1.0,1.0,1.0,0.0
ER,2985,1111.0,123.5,0.041373534,15.0,1.0,1.0,1.0,1.0
ER,2985,,,,,,,,
Mix,38017,0.0,1542.0,0.040560802,0.0,0.0,0.0,0.0,0.0
Mix,38017,1000.0,1911.0,0.050266986,1.0,0.0,0.0,0.0,1.0
Mix,38017,100.0,758.5,0.019951601,2.0,0.0,0.0,1.0,0.0
Mix,38017,1100.0,899.5,0.023660467999999997,3.0,0.0,0.0,1.0,1.0
Mix,38017,10.0,2242.5,0.058986769,4.0,0.0,1.0,0.0,0.0
Mix,38017,1010.0,7240.5,0.19045427,5.0,0.0,1.0,0.0,1.0
Mix,38017,110.0,1899.0,0.049951338,6.0,0.0,1.0,1.0,0.0
Mix,38017,1110.0,4312.5,0.113436094,7.0,0.0,1.0,1.0,1.0
Mix,38017,1.0,3271.0,0.086040456,8.0,1.0,0.0,0.0,0.0
Mix,38017,1001.0,5228.0,0.137517426,9.0,1.0,0.0,0.0,1.0
Mix,38017,101.0,1276.0,0.033563932000000005,10.0,1.0,0.0,1.0,0.0
Mix,38017,1101.0,1465.5,0.038548544,11.0,1.0,0.0,1.0,1.0
Mix,38017,11.0,1218.5,0.032051451,12.0,1.0,1.0,0.0,0.0
Mix,38017,1011.0,2714.0,0.071389115,13.0,1.0,1.0,0.0,1.0
Mix,38017,111.0,759.0,0.019964753000000002,14.0,1.0,1.0,1.0,0.0
Mix,38017,1111.0,1233.5,0.032446011000000004,15.0,1.0,1.0,1.0,1.0
Mix,38017,,46.0,0.001209985,,,,,
