patient_type_tol,tol_count,bucket,tol_bucket_count,tol_bucket_prop,type,dual-eligible,race,gender,age
EM,199889,0.0,8900.0,0.044524710999999995,0.0,0.0,0.0,0.0,0.0
EM,199889,1000.0,9226.0,0.046155616,1.0,0.0,0.0,0.0,1.0
EM,199889,100.0,5450.0,0.027265132,2.0,0.0,0.0,1.0,0.0
EM,199889,1100.0,4658.5,0.023305435,3.0,0.0,0.0,1.0,1.0
EM,199889,10.0,17618.0,0.088138917,4.0,0.0,1.0,0.0,0.0
EM,199889,1010.0,39956.0,0.199890939,5.0,0.0,1.0,0.0,1.0
EM,199889,110.0,14300.0,0.071539705,6.0,0.0,1.0,1.0,0.0
EM,199889,1110.0,23738.0,0.11875591,7.0,0.0,1.0,1.0,1.0
EM,199889,1.0,11816.0,0.059112807999999996,8.0,1.0,0.0,0.0,0.0
EM,199889,1001.0,19348.0,0.096793721,9.0,1.0,0.0,0.0,1.0
EM,199889,101.0,5272.5,0.026377138999999997,10.0,1.0,0.0,1.0,0.0
EM,199889,1101.0,6667.0,0.033353511,11.0,1.0,0.0,1.0,1.0
EM,199889,11.0,7700.0,0.038521379,12.0,1.0,1.0,0.0,0.0
EM,199889,1011.0,13662.0,0.068347933,13.0,1.0,1.0,0.0,1.0
EM,199889,111.0,4662.0,0.023322943999999998,14.0,1.0,1.0,1.0,0.0
EM,199889,1111.0,6701.0,0.033523606,15.0,1.0,1.0,1.0,1.0
EM,199889,,214.0,0.001070594,,,,,
ER,2988,0.0,90.5,0.030287817999999998,0.0,0.0,0.0,0.0,0.0
ER,2988,1000.0,134.5,0.045013387,1.0,0.0,0.0,0.0,1.0
ER,2988,100.0,73.5,0.024598394,2.0,0.0,0.0,1.0,0.0
ER,2988,1100.0,58.5,0.019578313,3.0,0.0,0.0,1.0,1.0
ER,2988,10.0,25.0,0.008366801,4.0,0.0,1.0,0.0,0.0
ER,2988,1010.0,241.5,0.080823293,5.0,0.0,1.0,0.0,1.0
ER,2988,110.0,27.0,0.009036145,6.0,0.0,1.0,1.0,0.0
ER,2988,1110.0,102.0,0.034136546000000004,7.0,0.0,1.0,1.0,1.0
ER,2988,1.0,292.5,0.097891566,8.0,1.0,0.0,0.0,0.0
ER,2988,1001.0,849.5,0.284303882,9.0,1.0,0.0,0.0,1.0
ER,2988,101.0,180.0,0.060240964,10.0,1.0,0.0,1.0,0.0
ER,2988,1101.0,220.0,0.073627845,11.0,1.0,0.0,1.0,1.0
ER,2988,11.0,63.5,0.021251673,12.0,1.0,1.0,0.0,0.0
ER,2988,1011.0,450.0,0.15060241,13.0,1.0,1.0,0.0,1.0
ER,2988,111.0,52.5,0.017570281,14.0,1.0,1.0,1.0,0.0
ER,2988,1111.0,123.5,0.041331995,15.0,1.0,1.0,1.0,1.0
ER,2988,,,,,,,,
Mix,15451,0.0,662.5,0.042877484,0.0,0.0,0.0,0.0,0.0
Mix,15451,1000.0,903.0,0.05844281900000001,1.0,0.0,0.0,0.0,1.0
Mix,15451,100.0,371.0,0.024011391,2.0,0.0,0.0,1.0,0.0
Mix,15451,1100.0,406.5,0.026308977,3.0,0.0,0.0,1.0,1.0
Mix,15451,10.0,642.5,0.041583069,4.0,0.0,1.0,0.0,0.0
Mix,15451,1010.0,2640.5,0.170895088,5.0,0.0,1.0,0.0,1.0
Mix,15451,110.0,627.0,0.040579897999999996,6.0,0.0,1.0,1.0,0.0
Mix,15451,1110.0,1357.0,0.087826031,7.0,0.0,1.0,1.0,1.0
Mix,15451,1.0,1679.5,0.108698466,8.0,1.0,0.0,0.0,0.0
Mix,15451,1001.0,2734.5,0.17697883600000003,9.0,1.0,0.0,0.0,1.0
Mix,15451,101.0,668.5,0.043265807999999996,10.0,1.0,0.0,1.0,0.0
Mix,15451,1101.0,751.5,0.048637629,11.0,1.0,0.0,1.0,1.0
Mix,15451,11.0,321.5,0.020807715,12.0,1.0,1.0,0.0,0.0
Mix,15451,1011.0,1062.0,0.068733415,13.0,1.0,1.0,0.0,1.0
Mix,15451,111.0,237.0,0.015338813,14.0,1.0,1.0,1.0,0.0
Mix,15451,1111.0,367.5,0.023784867999999997,15.0,1.0,1.0,1.0,1.0
Mix,15451,,19.0,0.001229694,,,,,
