"","bucket","n_mixture","lambda_1","alpha_1","beta_1","lambda_2","alpha_2","beta_2","lambda_3","alpha_3","beta_3","lambda_4","alpha_4","beta_4","lambda_5","alpha_5","beta_5","lambda_6","alpha_6","beta_6","lambda_7","alpha_7","beta_7","lambda_8","alpha_8","beta_8","lambda_9","alpha_9","beta_9"
"1","0000",4,0.399180086597731,6.512050662288,0.216114145596392,0.36934830270673,11.5072927566128,0.391921440300503,0.118926318383215,27.2887655571359,0.384130829164963,0.112545292312324,1.20459012268897,22.1458518233127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","0001",8,0.222673273528587,16.1170419241926,0.0669020491227171,0.195480488527351,24.2217074993283,0.0972243324087063,0.169722327048869,36.9642575729555,0.102084124598256,0.0699840495261227,945.277060306263,0.00531854111293194,0.136946713563324,78.3632972633602,0.0865489113063045,0.125300495704754,28.301359699941,0.398447136965804,0.0714134739839716,9.20168586248483,2.6250964999772,0.00847917811702016,1.40293502825192,63.8770739989624,NA,NA,NA
"3","0010",2,0.268304370429709,8.06443599688233,0.160551213619537,0.731695629570291,0.839592174000094,10.3559973757186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","0011",6,0.240983076666637,49.7980335121049,0.0205110197866737,0.124703565819874,24.8076895943563,0.0933745257166948,0.0778325985494927,88.1214795587265,0.0354866343656166,0.259675639223007,23.3681013139386,0.226048967680164,0.0823841066184111,64.5021770324372,0.141050503017189,0.214421013122578,1.39031833138289,16.6045865604837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","0100",7,0.286704387316529,53.0127821924131,0.0192411637745618,0.21765452522987,24.0889705882352,0.10085653898921,0.0771377467943317,91.5851329678121,0.0415285531068579,0.0327539481130082,87.9020462046211,0.0523037831343599,0.0889846568656919,124.129296235679,0.0446833406464824,0.113518019880608,44.0974167237207,0.182722882398893,0.18324671579996,1.85004000044684,11.0486955035698,NA,NA,NA,NA,NA,NA
"6","0101",8,0.223522790724426,15.9965177331244,0.067454116887669,0.13108035970943,34.793031358885,0.0620656843804966,0.104565975315256,73.9903138318475,0.0427210017338341,0.12837201001939,82.2773826163488,0.0530373834341709,0.265644294314859,16.6739219110358,0.455784404544226,0.0290155192278858,349.699320794155,0.0365586365958822,0.083196852983421,22.8497050018235,0.835045218799499,0.0346021977053337,1.78839979915499,27.0684812378862,NA,NA,NA
"7","0110",2,0.317172646225662,8.33055695489303,0.150087582279412,0.682827353774338,0.810054070860375,10.4627799760258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","0111",3,0.264732018681614,69.8385885885885,0.0145331551239737,0.311222367752718,8.06982343955439,0.440182026492504,0.424045613565668,1.28124144311004,11.3955488379783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1000",6,0.212425310092315,179.176683220159,0.00561276633667505,0.173128266380827,25.1528079235586,0.0914990754902186,0.239951795837976,24.0700279073355,0.171014736485383,0.326339604296699,7.15937475402741,1.38620550878204,0.0112604440149369,351.170308454102,0.0639819793634635,0.0368945793772473,3.09963103985026,13.0981121773947,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1001",8,0.196557673306094,10.6175021194949,0.10774626977039,0.262549808449201,16.0349579065869,0.1784699680581,0.139432507819065,88.5022241732501,0.052009591561083,0.0626648745505831,769.501541469264,0.00773439374223069,0.0145071890135317,169.041038049882,0.0379953100785634,0.0978669321968386,128.663899545483,0.0618151736661185,0.0591538755728609,109.549751837217,0.0960240126198546,0.167267139091826,2.05488569765475,10.6070306996105,NA,NA,NA
