"","bucket","n_mixture","lambda_1","alpha_1","beta_1","lambda_2","alpha_2","beta_2","lambda_3","alpha_3","beta_3","lambda_4","alpha_4","beta_4","lambda_5","alpha_5","beta_5","lambda_6","alpha_6","beta_6","lambda_7","alpha_7","beta_7","lambda_8","alpha_8","beta_8","lambda_9","alpha_9","beta_9"
"1","0000",1,1,1.53022045197149,3.0084557230382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","0001",2,0.843838231759184,2.06563577073453,1.91856165978636,0.156161768240816,1.52546124538524,7.80091145172135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","0010",6,0.237657662165502,28.2770097286225,0.0367727358312937,0.188211365153851,25.050909090909,0.092034805890228,0.242851069709217,26.3878765310813,0.152672291269768,0.186212770284866,32.005480362036,0.225475083471152,0.0439925232162456,221.218181818184,0.0493052442850736,0.101074609470319,3.19303447637834,6.38443287616378,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","0011",7,0.208198980581223,10.3309120258273,0.111420863309353,0.187861557618258,27.8997525330345,0.0929742917422749,0.121583515778123,84.6568181818173,0.0447018185512552,0.222826024413259,49.6698650674664,0.113806988806989,0.0824231383741823,151.322970639034,0.0504795117698338,0.139284113129612,16.9556836784564,0.722873201161138,0.0378226701053432,4.99690523641225,5.97747026326681,NA,NA,NA,NA,NA,NA
"5","0100",2,0.216903751367552,42.9600840336134,0.023861443216282,0.783096248632448,1.56006087710937,4.06977125203929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","0101",2,0.718184475497102,2.2414564343561,1.59664160485871,0.281815524502898,1.80721037813705,5.67900417621052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","0110",5,0.259019034529206,183.688930117498,0.00547411896137319,0.199386900228266,24.2439460720768,0.0970468275475104,0.270985385354769,19.1592018601261,0.22924368229518,0.260447289583268,4.76911168804493,2.31912496468242,0.0101613903044913,1.92909937950294,37.1848822800496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","0111",6,0.203996951805072,21.287199480182,0.0495787896847766,0.222985687249338,27.0157434188849,0.0951984273594832,0.242414215749731,36.7655173195506,0.124015490690825,0.185517725030074,45.2247440834585,0.168452987355427,0.0769003735733583,51.2764811490128,0.238830288997512,0.0681850465924271,6.21598338466017,3.84218831445766,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1000",7,0.192882225942036,13.751124807396,0.0797665752239364,0.133968715057013,78.2621118012438,0.0262882894650899,0.224565844990952,48.0571428571427,0.0709939148073024,0.111550970513322,105.490860692101,0.0445651830059163,0.129409100101804,81.4027413272153,0.0785347160579375,0.187999283384163,10.9454292229822,1.05592066220911,0.0196238600107108,3.86067377730863,9.5672860084322,NA,NA,NA,NA,NA,NA
"10","1001",2,0.859302888394871,2.11058238133409,2.09930210670263,0.140697111605129,1.61051190277457,7.97049039895798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1010",2,0.860119420695888,1.92024284280763,2.27990984011721,0.139880579304112,1.5551287914429,7.73196699008086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1011",9,0.161659969922358,13.7335138469975,0.0798815028980864,0.197236856519143,27.6027492668622,0.093719617563496,0.128167406460473,80.8736586994841,0.0491090221642611,0.181311466489868,120.081605473443,0.0455315602174915,0.107326390257043,174.592471082655,0.0415896838489839,0.0332375711721555,289.375792957637,0.0293911410447791,0.0448074237637704,370.225625038202,0.0258147489180736,0.0774846584820906,75.434989271261,0.165548530985547,0.0687682569330991,3.59072445983309,6.57324543899748
"13","1100",7,0.204994236497278,42.2160673793331,0.0242933140266933,0.171823570727236,26.202752293578,0.0865732099598903,0.198279186315153,50.7994445890826,0.0698342474470472,0.117263464897791,88.6608216432857,0.0578500420253317,0.0879034406333408,170.524024024023,0.0382502153728346,0.184146767547936,16.5923854468927,0.650255967919516,0.035589333381266,7.31265904103989,3.41614889129567,NA,NA,NA,NA,NA,NA
"14","1101",2,0.871768691855911,1.99525390336876,2.29092500248647,0.128231308144089,1.46477295798721,9.94198179219337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1110",7,0.224298335008508,24.6352593642917,0.0424855582736897,0.202417529235579,24.3761209292134,0.100965335349951,0.152244071532573,68.4643430093086,0.0543208345280166,0.113327543516118,132.09782069841,0.0399970336729666,0.191237832031452,33.3793018123688,0.232709568657033,0.0436709049081344,123.116724107054,0.0993587100593452,0.0728037837676363,3.35767470621994,6.89579788981783,NA,NA,NA,NA,NA,NA
"16","1111",2,0.913866001480087,1.71696369952601,3.01677500414967,0.0861339985199126,1.40643825699937,12.5142234030152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
