type,ndays,day0,ratio0,day1,ratio1,day2,ratio2,day3,ratio3,day4,ratio4,day5,ratio5,day6,ratio6,day7,ratio7,day8,ratio8,day9,ratio9,day10,ratio10,day11,ratio11,day12,ratio12,day13,ratio13,day14,ratio14,day15,ratio15,day16,ratio16,day17,ratio17,day18,ratio18,day19,ratio19,day20,ratio20,day21,ratio21,day22,ratio22,day23,ratio23,day24,ratio24,day25,ratio25,day26,ratio26,day27,ratio27,day28,ratio28,day29,ratio29,day30,ratio30,day31,ratio31,day32,ratio32,day33,ratio33
0,17,1.0,0.25891668217170877,2.0,0.16636130836558616,4.0,0.12359125011496257,5.0,0.10232590303824239,3.0,0.09543085828605423,6.0,0.058315169816159446,7.0,0.030469492571456227,10.0,0.0290226018269968,9.0,0.02669164999793648,11.0,0.0262112370073233,8.0,0.02360137940075321,12.0,0.019985433470228787,13.0,0.013324486601422757,0.0,0.008478574393417518,14.0,0.008300118297835786,15.0,0.00526806713908052,16.0,0.003705787500835147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,1.0,0.22465920945822437,4.0,0.1246310120414099,2.0,0.12256892008748231,3.0,0.11394196588282252,5.0,0.0794038098073352,6.0,0.04068913207862018,9.0,0.03849354160091432,8.0,0.038260239392909005,7.0,0.03602563190469856,10.0,0.035907971546754236,11.0,0.03151749498373712,12.0,0.026321416920744616,13.0,0.021100598586095243,14.0,0.01635725170168132,15.0,0.012343046801828999,16.0,0.009124739631144067,17.0,0.006653848085137311,22.0,0.0051070491159819036,18.0,0.004826054735109996,23.0,0.004629099262224078,21.0,0.0038739758389632114,19.0,0.003563990536181471,,,,,,,,,,,,,,,,,,,,,,,,
2,28,1.0,0.3054866136454141,2.0,0.1326887398413277,3.0,0.11262918818873854,4.0,0.0853953060732721,5.0,0.07172181401338326,6.0,0.06331755398779607,8.0,0.04488342600789247,7.0,0.03867178382957305,9.0,0.03309967901738926,10.0,0.017584092347747538,11.0,0.009628866706733557,12.0,0.0071782284309345286,13.0,0.006492354347214202,14.0,0.006316410735635814,15.0,0.006118539607014764,16.0,0.005904441878436442,17.0,0.005678890103396947,18.0,0.005445868621462615,19.0,0.005208691025436676,20.0,0.004970099313918839,21.0,0.004732348046748471,22.0,0.004497276078846428,23.0,0.004266367909507105,24.0,0.004040806283969444,25.0,0.0038215173801926664,26.0,0.00360920967863454,27.0,0.0034044074278983443,28.0,0.0032074794714847463,,,,,,,,,,,,
3,29,1.0,0.22769036258427583,2.0,0.1505744294363696,3.0,0.12165442739300841,4.0,0.08882274833678142,6.0,0.06918549071407756,7.0,0.06884617703715777,8.0,0.052734568903558765,5.0,0.05179337589658417,9.0,0.03372721715289082,10.0,0.02003689434731686,12.0,0.017891311320216225,11.0,0.017872770097588083,13.0,0.008516550580377561,14.0,0.005718176761865872,15.0,0.005307591338568463,16.0,0.005235572855865932,17.0,0.005133915200998452,18.0,0.005007792457273288,19.0,0.0048618834483506014,20.0,0.004700377041773355,21.0,0.004526989201884921,22.0,0.004344987751167419,23.0,0.004157221876952126,24.0,0.003966154219272288,25.0,0.003773893971708572,0.0,0.0037377939132982457,26.0,0.003582229873838584,27.0,0.0033926623095300026,28.0,0.003206433977448724,,,,,,,,,,
4,30,1.0,0.27857331488158044,2.0,0.14722943194271948,0.0,0.0652768090362386,3.0,0.06308279361052206,4.0,0.051462035646488984,5.0,0.04507135501440641,6.0,0.03973768945124987,7.0,0.03519564911598425,8.0,0.03127691412953202,9.0,0.02786526887584659,10.0,0.0248755506516385,11.0,0.02224259810011129,12.0,0.019914926622639523,13.0,0.017850854755248124,14.0,0.016015997455141096,15.0,0.014381568303121784,16.0,0.012923184692449052,17.0,0.011619999214289165,18.0,0.01045405040765306,19.0,0.009409765776679273,20.0,0.008473573487319926,21.0,0.007633593569300965,22.0,0.00687938856910918,23.0,0.006201759534252305,24.0,0.005592577169469459,25.0,0.005044640709699132,26.0,0.00455155893987723,27.0,0.004107649131347225,28.0,0.003707850633613821,29.0,0.0033476505724712637,,,,,,,,
5,26,2.0,0.1639536179671788,1.0,0.1411186103654657,3.0,0.13985292319031695,4.0,0.10751551664204673,5.0,0.07995985251893033,6.0,0.05964179309243776,7.0,0.04552570891439839,8.0,0.03588565390507701,9.0,0.02922805182698398,0.0,0.025984359766694734,10.0,0.024481090939421156,11.0,0.020942294937213092,12.0,0.018174784180690972,13.0,0.01591526027074934,14.0,0.014007499775390267,15.0,0.012184407603155575,16.0,0.010818879021481275,17.0,0.009584067695325712,18.0,0.008472721416955355,19.0,0.0074764995306080715,20.0,0.0065865496540064876,21.0,0.005793911263374804,22.0,0.0050897924895896025,23.0,0.004465754102652432,24.0,0.003913825766003769,25.0,0.003426573163851747,,,,,,,,,,,,,,,,
6,29,1.0,0.3224552055264006,2.0,0.14706671701272975,0.0,0.06771967840506857,3.0,0.058552785324720365,4.0,0.0478755448127749,5.0,0.04169381071637511,6.0,0.036597432240752445,7.0,0.03229831423296357,8.0,0.028617033530388247,9.0,0.025431811167838835,10.0,0.022654808617219087,11.0,0.020219779573973747,12.0,0.018075059123665048,13.0,0.016179305157983975,14.0,0.014498766284265547,15.0,0.01300544799509173,16.0,0.011675834097108883,17.0,0.010489966013137442,18.0,0.009430761185091802,19.0,0.00848349630794391,20.0,0.007635407367535553,21.0,0.006875374491250451,22.0,0.006193669732296294,23.0,0.005581752465198872,24.0,0.005032101429912886,25.0,0.004538075427348471,26.0,0.00409379672820716,27.0,0.003694052714060827,28.0,0.0033342123186958913,,,,,,,,,,
7,19,1.0,0.2735066830076348,3.0,0.13333284449554064,2.0,0.11107473642003195,4.0,0.09330245875965855,5.0,0.07405191024777373,7.0,0.058531455466799324,6.0,0.054738854365521714,8.0,0.04943110137416803,9.0,0.033518458141987145,10.0,0.020126702318403987,14.0,0.016052373192925684,13.0,0.01476329090737657,15.0,0.014552088496246165,11.0,0.013330352690651436,12.0,0.012624278937013811,16.0,0.011299251449571932,17.0,0.007666319055661414,18.0,0.004881219204986105,19.0,0.0032156214680469576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,27,1.0,0.21739661106277666,2.0,0.14257825701968607,3.0,0.12750881868456604,5.0,0.09811788808508663,4.0,0.09605813899922207,7.0,0.06750105567561436,6.0,0.04827049074527993,8.0,0.03002120125995109,11.0,0.02533159132342048,10.0,0.02289303631747552,12.0,0.02268903412965593,9.0,0.018282932726763672,13.0,0.017228951393761717,14.0,0.011702132175150388,15.0,0.007660106058891043,16.0,0.005328659000327894,17.0,0.004256855595935551,22.0,0.003927218392526459,21.0,0.003924408936450331,18.0,0.003896357383384571,23.0,0.0038651214456116643,19.0,0.003851144573403651,20.0,0.003850575347436755,24.0,0.003746534465416913,25.0,0.00358125777402018,26.0,0.0033796542721661214,27.0,0.0031519671560181527,,,,,,,,,,,,,,
9,28,1.0,0.17683919965336053,3.0,0.14007919802005095,2.0,0.12053074679015073,4.0,0.10955713128336735,5.0,0.08898907352370887,6.0,0.08511019972682264,8.0,0.06044898620426854,7.0,0.03772278416471278,9.0,0.0345440495578698,10.0,0.02941396402393204,11.0,0.026490180079327907,12.0,0.014280691426723717,13.0,0.0075131663406515226,14.0,0.0059511807038434275,15.0,0.005657307521027303,16.0,0.005511214368140868,17.0,0.005346752407540328,18.0,0.005168249491593636,19.0,0.004979428695626027,20.0,0.004783477532890913,21.0,0.004583110566604887,22.0,0.004380625817330176,23.0,0.004177955408237269,24.0,0.003976710904912137,25.0,0.003778223801720003,26.0,0.003583581590649073,27.0,0.003393659825677272,28.0,0.0032091505692592366,,,,,,,,,,,,
