"","patient_type_notol","notol_count","bucket","notol_bucket_count","notol_bucket_prop"
"1","EM",176580,"0000",7431.5,0.0420857401744252
"2","EM",176580,"0001",9192.5,0.052058557027976
"3","EM",176580,"0010",15187,0.0860063427341715
"4","EM",176580,"0011",6346,0.0359383848680485
"5","EM",176580,"0100",4897.5,0.0277353041114509
"6","EM",176580,"0101",4482,0.0253822629969419
"7","EM",176580,"0110",12720,0.072035338090384
"8","EM",176580,"0111",4021,0.0227715483067165
"9","EM",176580,"1000",8172,0.0462793068297655
"10","EM",176580,"1001",16899.5,0.0957044965454751
"11","EM",176580,"1010",35652.5,0.201905651829199
"12","EM",176580,"1011",12790,0.0724317589761015
"13","EM",176580,"1100",4277.5,0.0242241476950957
"14","EM",176580,"1101",6332.5,0.0358619322686601
"15","EM",176580,"1110",21675,0.122748895684676
"16","EM",176580,"1111",6293.5,0.0356410692037603
"17","EM",176580,NA,210,0.00118926265715257
"18","ER",4560,"0000",97,0.0212719298245614
"19","ER",4560,"0001",394.5,0.0865131578947368
"20","ER",4560,"0010",25,0.00548245614035088
"21","ER",4560,"0011",81,0.0177631578947368
"22","ER",4560,"0100",80,0.0175438596491228
"23","ER",4560,"0101",281,0.0616228070175439
"24","ER",4560,"0110",35,0.00767543859649123
"25","ER",4560,"0111",96.5,0.0211622807017544
"26","ER",4560,"1000",138,0.0302631578947368
"27","ER",4560,"1001",1289.5,0.282785087719298
"28","ER",4560,"1010",292.5,0.0641447368421053
"29","ER",4560,"1011",845.5,0.185416666666667
"30","ER",4560,"1100",81,0.0177631578947368
"31","ER",4560,"1101",399,0.0875
"32","ER",4560,"1110",119.5,0.0262061403508772
"33","ER",4560,"1111",300,0.0657894736842105
"34","ER",4560,NA,5,0.00109649122807018
"35","Mix",72878,"0000",2768,0.0379812837893466
"36","Mix",72878,"0001",5588,0.0766760888059497
"37","Mix",72878,"0010",4029.5,0.0552910343313483
"38","Mix",72878,"0011",2209,0.0303109305963391
"39","Mix",72878,"0100",1584.5,0.0217418150882296
"40","Mix",72878,"0101",2398.5,0.0329111666072066
"41","Mix",72878,"0110",3322.5,0.0455898899530723
"42","Mix",72878,"0111",1382.5,0.0189700595515794
"43","Mix",72878,"1000",3411,0.0468042481956146
"44","Mix",72878,"1001",10096,0.138532890584264
"45","Mix",72878,"1010",13931.5,0.191161941875463
"46","Mix",72878,"1011",5989.5,0.0821852959740937
"47","Mix",72878,"1100",1716,0.0235462004994649
"48","Mix",72878,"1101",3043,0.0417547133565685
"49","Mix",72878,"1110",8693.5,0.119288399791432
"50","Mix",72878,"1111",2624,0.0360053788523285
"51","Mix",72878,NA,91,0.00124866214769889
