CD,type,ratio_over_CD,CD_ratio_over_whole_NYC,ratio_over_whole_NYC
101,0,0.025581342666666663,0.006294426,0.00016101986839597596
101,1,0.07209017699999999,0.006294426,0.00045376628445340195
101,2,0.018780756333333332,0.006294426,0.00011821408096419798
101,3,0.03629664833333333,0.006294426,0.00022846656698218993
101,4,0.045929399333333336,0.006294426,0.000289099205328116
101,5,0.21165201133333333,0.006294426,0.0013322279230888279
101,6,0.046795725,0.006294426,0.00029455222812885
101,7,0.10714457333333333,0.006294426,0.00067441358814824
101,8,0.038752886333333326,0.006294426,0.00024392717531157796
101,9,0.20932296566666664,0.006294426,0.0013175679174893737
101,10,0.02145322266666667,0.006294426,0.000135035722536856
101,11,0.08663116566666668,0.006294426,0.000545293461582574
101,12,0.009823540666666667,0.006294426,6.1833549784324e-05
101,13,0.03758977733333333,0.006294426,0.00023660607178114398
101,14,0.010613550666666666,0.006294426,6.680620926858399e-05
101,15,0.021542257999999998,0.006294426,0.000135596148853908
102,0,0.011994942333333333,0.011995098000000001,0.00014388050879268202
102,1,0.022069881000000003,0.011995098000000001,0.0002647303854433381
102,2,0.016189526666666666,0.011995098000000001,0.00019419495894028
102,3,0.016689608999999998,0.011995098000000001,0.00020019349553668199
102,4,0.10739758933333332,0.011995098000000001,0.0012882446090170879
102,5,0.2821754266666667,0.011995098000000001,0.0033847218960584803
102,6,0.10514702999999999,0.011995098000000001,0.00126124892925894
102,7,0.22292697066666667,0.011995098000000001,0.002674030859989792
102,8,0.019908152,0.011995098000000001,0.000238800234238896
102,9,0.08209313066666667,0.011995098000000001,0.0009847151474734722
102,10,0.013277520666666667,0.011995098000000001,0.00015926516159369203
102,11,0.03426676666666667,0.011995098000000001,0.00041103322430980006
102,12,0.006727555,0.011995098000000001,8.069768152539e-05
102,13,0.032847046,0.011995098000000001,0.000394003535780508
102,14,0.012583786,0.011995098000000001,0.000150943746281028
102,15,0.013705066333333333,0.011995098000000001,0.00016439361376483402
103,0,0.02653011466666667,0.024739707333333333,0.0006563472723731076
103,1,0.04710243733333333,0.024739707333333333,0.0011653005143133404
103,2,0.018392882333333332,0.024739707333333333,0.00045503452594310373
103,3,0.028699423333333335,0.024739707333333333,0.0007100153339021045
103,4,0.02724416,0.024739707333333333,0.0006740125449425067
103,5,0.09750343033333335,0.024739707333333333,0.0024122063304427227
