agent-type,dual-eligible,race,gender,age,choice-type,attribute,social_norm,efficacy,floating-prob_a,floating-mu_a,floating-sigma_a,floating-prob_s,floating-mu_s,floating-sigma_s,floating-prob_e,floating-mu_e,floating-sigma_e
0,0,0,0,0,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
0,0,0,0,0,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
1,0,0,0,1,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
1,0,0,0,1,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
2,0,0,1,0,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
2,0,0,1,0,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
3,0,0,1,1,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
3,0,0,1,1,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
4,0,1,0,0,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
4,0,1,0,0,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
5,0,1,0,1,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
5,0,1,0,1,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
6,0,1,1,0,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
6,0,1,1,0,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
7,0,1,1,1,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
7,0,1,1,1,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
8,1,0,0,0,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
8,1,0,0,0,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
9,1,0,0,1,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
9,1,0,0,1,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
10,1,0,1,0,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
10,1,0,1,0,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
11,1,0,1,1,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
11,1,0,1,1,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
12,1,1,0,0,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
12,1,1,0,0,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
13,1,1,0,1,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
13,1,1,0,1,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
14,1,1,1,0,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
14,1,1,1,0,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
15,1,1,1,1,ER,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
15,1,1,1,1,Office,1,1,1,0.3,0.7,0.7,0.3,0.7,0.7,0.3,0.7,0.7
