1 & 2 Family,Commercial & Office,Industrial & Manufacturing,Mixed Res. & Commercial,Multifamily Elevator,Multifamily Walk-up,Open Space & Outdoor Recreation,Other,Parking Facilities,Public Facilities & Institutions,Transportation & Utility,Vacant Land,boroCD
0.0013,0.2191,0.0075,0.1107,0.0493,0.0048,0.0375,0.15460000000000002,0.0075,0.2871,0.10550000000000001,0.0151,101
0.0379,0.1585,0.0356,0.2329,0.1325,0.0946,0.0304,0.0019,0.018500000000000003,0.0859,0.1348,0.0364,102
0.0029,0.0364,0.011699999999999999,0.2475,0.2413,0.0833,0.1609,0.0014000000000000002,0.0129,0.10529999999999999,0.0417,0.0547,103
0.006999999999999999,0.1356,0.0347,0.15789999999999998,0.1234,0.0687,0.0212,0.0027,0.0342,0.0916,0.2583,0.06480000000000001,104
0.0009,0.6420999999999999,0.0255,0.1354,0.0516,0.0074,0.024,0.0005,0.012,0.0564,0.0315,0.0126,105
0.016399999999999998,0.14029999999999998,0.0008,0.3381,0.1672,0.050300000000000004,0.0347,0.0023,0.006999999999999999,0.1697,0.0509,0.0223,106
0.022000000000000002,0.039,0.0009,0.19010000000000002,0.2608,0.11720000000000001,0.1865,0.0001,0.0039000000000000003,0.1092,0.0279,0.0424,107
0.0541,0.0406,0.0038,0.22519999999999998,0.3722,0.0917,0.0368,0.0019,0.0066,0.1274,0.021400000000000002,0.0183,108
0.021400000000000002,0.0233,0.0067,0.0771,0.1663,0.0946,0.309,0.0001,0.009300000000000001,0.2066,0.047599999999999996,0.0381,109
0.0381,0.049,0.006999999999999999,0.2274,0.2186,0.2054,0.0565,0.0011,0.008100000000000001,0.1454,0.005699999999999999,0.0375,110
0.003,0.0199,0.0055000000000000005,0.0645,0.17629999999999998,0.0447,0.44409999999999994,0.001,0.0149,0.09849999999999999,0.0842,0.0433,111
0.0049,0.0287,0.0042,0.09570000000000001,0.1115,0.0897,0.4968,0.0015,0.0181,0.08560000000000001,0.0361,0.0273,112
0.0594,0.049800000000000004,0.17980000000000002,0.0704,0.14400000000000002,0.0768,0.06309999999999999,0.0337,0.0559,0.1067,0.1273,0.0332,201
0.0393,0.027200000000000002,0.20670000000000002,0.0317,0.029900000000000003,0.0567,0.07150000000000001,0.1709,0.0369,0.045599999999999995,0.1766,0.1069,202
0.1066,0.061200000000000004,0.0681,0.091,0.13,0.126,0.2032,0.009399999999999999,0.0405,0.1251,0.011000000000000001,0.0279,203
0.0471,0.071,0.0319,0.09519999999999999,0.1524,0.1245,0.1858,0.0086,0.0666,0.1242,0.06,0.0327,204
0.1211,0.0689,0.015,0.1404,0.17809999999999998,0.16440000000000002,0.0874,0.002,0.0269,0.1508,0.0178,0.027200000000000002,205
0.1085,0.07440000000000001,0.0305,0.08070000000000001,0.1001,0.16260000000000002,0.0632,0.0038,0.0611,0.25170000000000003,0.0294,0.034,206
0.10679999999999999,0.0633,0.0096,0.08410000000000001,0.1555,0.157,0.0794,0.0022,0.0268,0.2409,0.030299999999999997,0.044199999999999996,207
0.2364,0.0281,0.0043,0.0202,0.15789999999999998,0.038900000000000004,0.15710000000000002,0.0011,0.009899999999999999,0.1629,0.020099999999999996,0.1631,208
0.209,0.0541,0.0382,0.0302,0.18239999999999998,0.1383,0.1866,0.0026,0.038599999999999995,0.061399999999999996,0.009399999999999999,0.0492,209
0.3063,0.0739,0.0166,0.016200000000000003,0.0733,0.063,0.1398,0.0105,0.0195,0.1281,0.0034999999999999996,0.1492,210
0.4239,0.07780000000000001,0.022000000000000002,0.0436,0.0886,0.0928,0.0075,0.005,0.0212,0.17800000000000002,0.0171,0.0225,211
0.3821,0.0409,0.0321,0.019299999999999998,0.0584,0.1184,0.2082,0.0026,0.022000000000000002,0.0655,0.021400000000000002,0.029300000000000003,212
0.0525,0.0436,0.2438,0.1056,0.0753,0.1754,0.053399999999999996,0.0342,0.0337,0.052000000000000005,0.0909,0.039599999999999996,301
0.0861,0.07150000000000001,0.0329,0.106,0.1035,0.1297,0.092,0.0029,0.0219,0.1517,0.172,0.0298,302
0.2412,0.0285,0.031200000000000002,0.084,0.1202,0.27190000000000003,0.0335,0.0033,0.0209,0.11960000000000001,0.005699999999999999,0.04,303
0.2069,0.0374,0.0482,0.08259999999999999,0.0308,0.2901,0.15810000000000002,0.0058,0.0225,0.08689999999999999,0.014199999999999999,0.0166,304
0.2623,0.0366,0.0677,0.0513,0.09369999999999999,0.11359999999999999,0.1308,0.0068000000000000005,0.0653,0.0733,0.0369,0.0616,305
0.1307,0.0701,0.18760000000000002,0.06480000000000001,0.0626,0.20629999999999998,0.0591,0.0322,0.044199999999999996,0.049800000000000004,0.053,0.039599999999999996,306
0.16079999999999997,0.0292,0.1251,0.0446,0.0141,0.1128,0.2824,0.0044,0.013600000000000001,0.0371,0.15869999999999998,0.0173,307
0.193,0.0248,0.0296,0.0898,0.1257,0.3184,0.0541,0.003,0.0262,0.09939999999999999,0.014199999999999999,0.0218,308
