x,y,boroCD
-50,-37,503
-50,-36,503
-49,-37,503
-49,-36,503
-49,-35,503
-48,-37,503
-48,-36,503
-48,-35,503
-48,-34,503
-48,-33,503
-48,-32,503
-48,-31,503
-48,-30,503
-48,-29,503
-47,-37,503
-47,-36,503
-47,-35,503
-47,-34,503
-47,-33,503
-47,-32,503
-47,-31,503
-47,-30,503
-47,-29,503
-46,-37,503
-46,-36,503
-46,-35,503
-46,-34,503
-46,-33,503
-46,-32,503
-46,-31,503
-46,-30,503
-46,-29,503
-46,-28,503
-45,-37,503
-45,-36,503
-45,-35,503
-45,-34,503
-45,-33,503
-45,-32,503
-45,-31,503
-45,-30,503
-45,-29,503
-45,-28,503
-44,-36,503
-44,-35,503
-44,-34,503
-44,-33,503
-44,-32,503
-44,-31,503
-44,-30,503
-44,-29,503
-44,-28,503
-43,-36,503
-43,-35,503
-43,-34,503
-43,-33,503
-43,-32,503
-43,-31,503
-43,-30,503
-43,-29,503
-43,-28,503
-42,-35,503
-42,-34,503
-42,-33,503
-42,-32,503
-42,-31,503
-42,-30,503
-42,-29,503
-42,-28,503
-42,-27,503
-42,-26,503
-42,-25,503
-41,-35,503
-41,-34,503
-41,-33,503
-41,-32,503
-41,-31,503
-41,-30,503
-41,-29,503
-41,-28,503
-41,-27,503
-41,-26,503
-41,-25,503
-41,-24,503
-41,-23,503
-40,-35,503
-40,-34,503
-40,-33,503
-40,-32,503
-40,-31,503
-40,-30,503
-40,-29,503
-40,-28,503
-40,-27,503
-40,-26,503
-40,-25,503
-40,-24,503
-40,-23,502
-40,-22,502
-40,-21,502
-40,-20,502
-40,-19,502
-40,-18,502
-40,-17,502
-40,-16,502
-40,-15,502
-40,-14,502
-39,-35,503
-39,-34,503
-39,-33,503
-39,-32,503
-39,-31,503
-39,-30,503
-39,-29,503
-39,-28,503
-39,-27,503
-39,-26,503
-39,-25,503
-39,-24,503
-39,-23,502
-39,-22,502
-39,-21,502
-39,-20,502
-39,-19,502
-39,-18,502
-39,-17,502
-39,-16,502
-39,-15,502
-39,-14,502
-39,-13,501
-38,-34,503
-38,-33,503
-38,-32,503
-38,-31,503
-38,-30,503
-38,-29,503
-38,-28,503
-38,-27,503
-38,-26,503
-38,-25,503
-38,-24,502
-38,-23,502
-38,-22,502
-38,-21,502
-38,-20,502
-38,-19,502
-38,-18,502
-38,-17,502
-38,-16,502
-38,-15,502
-38,-14,502
-38,-13,501
-38,-12,501
-37,-33,503
-37,-32,503
-37,-31,503
-37,-30,503
-37,-29,503
-37,-28,503
-37,-27,503
-37,-26,503
-37,-25,503
-37,-24,502
-37,-23,502
-37,-22,502
-37,-21,502
-37,-20,502
-37,-19,502
-37,-18,502
-37,-17,502
-37,-16,502
-37,-15,502
-37,-14,501
-37,-13,501
-37,-12,501
-36,-33,503
-36,-32,503
-36,-31,503
-36,-30,503
-36,-29,503
-36,-28,503
-36,-27,503
-36,-26,503
-36,-25,502
-36,-24,502
-36,-23,502
-36,-22,502
-36,-21,502
-36,-20,502
-36,-19,502
-36,-18,502
-36,-17,502
-36,-16,502
-36,-15,502
-36,-14,501
-36,-13,501
-36,-12,501
-35,-33,503
-35,-32,503
-35,-31,503
-35,-30,503
-35,-29,503
-35,-28,503
-35,-27,503
-35,-26,502
-35,-25,502
-35,-24,502
-35,-23,502
-35,-22,502
-35,-21,502
-35,-20,502
-35,-19,502
-35,-18,502
-35,-17,502
-35,-16,502
-35,-15,501
-35,-14,501
-35,-13,501
-35,-12,501
-34,-32,503
-34,-31,503
-34,-30,503
-34,-29,503
-34,-28,503
-34,-27,503
-34,-26,503
-34,-25,502
-34,-24,502
-34,-23,502
-34,-22,502
-34,-21,502
-34,-20,502
-34,-19,502
-34,-18,502
-34,-17,502
-34,-16,502
-34,-15,501
-34,-14,501
-34,-13,501
-34,-12,501
-33,-32,503
-33,-31,503
-33,-30,503
-33,-29,503
-33,-28,503
-33,-27,503
-33,-26,503
-33,-25,502
-33,-24,502
-33,-23,502
-33,-22,502
-33,-21,502
-33,-20,502
-33,-19,502
-33,-18,502
-33,-17,502
-33,-16,501
-33,-15,501
-33,-14,501
-33,-13,501
-32,-31,503
-32,-30,503
-32,-29,503
-32,-28,503
-32,-27,503
-32,-26,503
-32,-25,503
-32,-24,502
-32,-23,502
-32,-22,502
-32,-21,502
-32,-20,502
-32,-19,502
-32,-18,502
-32,-17,501
-32,-16,501
-32,-15,501
-32,-14,501
-32,-13,501
-31,-31,503
-31,-30,503
-31,-29,503
-31,-28,503
-31,-27,503
-31,-26,503
-31,-25,503
-31,-24,502
-31,-23,502
-31,-22,502
-31,-21,502
-31,-20,502
-31,-19,502
-31,-18,502
-31,-17,501
-31,-16,501
-31,-15,501
-31,-14,501
-31,-13,501
-30,-30,503
-30,-29,503
-30,-28,503
-30,-27,503
-30,-26,503
-30,-25,503
-30,-24,502
-30,-23,502
-30,-22,502
-30,-21,502
-30,-20,502
-30,-19,502
-30,-18,502
-30,-17,501
-30,-16,501
-30,-15,501
-30,-14,501
-30,-13,501
-30,-12,501
-29,-28,503
-29,-27,503
-29,-26,503
-29,-25,503
-29,-24,502
-29,-23,502
-29,-22,502
-29,-21,502
-29,-20,502
-29,-19,502
-29,-18,502
-29,-17,501
-29,-16,501
-29,-15,501
-29,-14,501
-29,-13,501
-29,-12,501
-28,-27,503
-28,-26,503
-28,-25,503
-28,-24,503
-28,-23,502
-28,-22,502
-28,-21,502
-28,-20,502
-28,-19,502
-28,-18,502
-28,-17,501
-28,-16,501
-28,-15,501
-28,-14,501
-28,-13,501
-28,-12,501
-27,-27,503
-27,-26,503
-27,-25,503
-27,-24,503
-27,-23,502
-27,-22,502
-27,-21,502
-27,-20,502
-27,-19,502
-27,-18,502
