Battery Park City,Commercial,Manufacturing,Park,Residence,boroCD
0.09380000000000001,0.6086,0.0321,0.0393,0.2261,101
,0.36719999999999997,0.3579,0.0197,0.255,102
,0.247,0.0327,0.08929999999999999,0.6312,103
,0.4155,0.2868,0.0111,0.2866,104
,0.8256999999999999,0.1422,0.016200000000000003,0.0161,105
,0.4386,0.0431,0.0192,0.4991,106
,0.2249,0.0018,0.1467,0.6264,107
,0.28300000000000003,0.0138,0.0197,0.6835,108
,0.0404,0.0722,0.1743,0.7131000000000001,109
,0.09269999999999999,0.0070999999999999995,0.0356,0.8645999999999999,110
,0.0519,0.0868,0.304,0.5573,111
,0.0504,0.062400000000000004,0.3028,0.5843,112
,0.0806,0.39159999999999995,0.0341,0.4936,201
,0.037000000000000005,0.6556000000000001,0.0298,0.2776,202
,0.042300000000000004,0.1416,0.1338,0.6823,203
,0.121,0.08380000000000001,0.1108,0.6843,204
,0.0692,0.0603,0.0316,0.8390000000000001,205
,0.11699999999999999,0.1298,0.0379,0.7154,206
,0.0724,0.037000000000000005,0.0526,0.8379000000000001,207
,0.0085,0.0291,0.06480000000000001,0.8973,208
,0.0464,0.0931,0.1165,0.7441,209
,0.0645,0.059800000000000006,0.1335,0.7423000000000001,210
,0.0333,0.1082,0.0169,0.8415,211
,0.0216,0.0906,0.0547,0.8328,212
,0.043,0.46799999999999997,0.0287,0.46020000000000005,301
,0.1436,0.26280000000000003,0.0579,0.5355,302
,0.0368,0.07719999999999999,0.014199999999999999,0.8717,303
,0.031400000000000004,0.1011,0.0141,0.8534,304
,0.053200000000000004,0.14300000000000002,0.04190000000000001,0.762,305
,0.0154,0.371,0.0392,0.5745,306
,0.0138,0.3479,0.0168,0.6214999999999999,307
,0.0177,0.08070000000000001,0.036699999999999997,0.8648,308
,0.035699999999999996,0.0089,0.0095,0.946,309
,0.0195,0.0397,0.1632,0.7777,310
,0.0318,0.056799999999999996,0.0148,0.8967,311
,0.0285,0.085,0.0077,0.8789,312
,0.09119999999999999,0.053899999999999997,0.157,0.6981,313
,0.043,0.0064,0.020499999999999997,0.93,314
,0.044500000000000005,0.0189,0.0294,0.9070999999999999,315
,0.0653,0.1057,0.025699999999999997,0.8031999999999999,316
,0.0353,0.0705,0.0060999999999999995,0.8881,317
,0.023,0.0679,0.1869,0.7222,318
,0.14029999999999998,0.2807,0.0291,0.5496,401
,0.0076,0.4935,0.012199999999999999,0.4869,402
,0.0363,0.0344,0.022799999999999997,0.9063,403
,0.0332,0.0496,0.017,0.9003,404
,0.009300000000000001,0.1477,0.0467,0.7962,405
,0.0471,0.029300000000000003,0.0223,0.9013,406
,0.0318,0.1215,0.1003,0.7465999999999999,407
,0.009000000000000001,,0.09789999999999999,0.8934000000000001,408
,0.0215,0.0678,0.0053,0.9054000000000001,409
,0.061500000000000006,0.0405,0.077,0.8210999999999999,410
,0.0021,0.0017000000000000001,0.1528,0.8432999999999999,411
,0.0412,0.0666,0.043,0.8493,412
,0.0097,0.0519,0.0724,0.8661,413
,0.0297,0.029900000000000003,0.1393,0.8009999999999999,414
,0.0397,0.1668,0.0702,0.7231000000000001,501
,0.0265,0.20489999999999997,0.1346,0.6341,502
,0.012199999999999999,0.1709,0.1216,0.6953,503
